2587,,,, ,,,Biomaterial Production,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,ChildID,N,Sex,Subpopulation,Superpopulation,Production Year,Pellets Status: Production,QC: Karyotyping ,QC: OMNI Microarray,Pellets Status: UL Nanopore Production,HiFi Center Information ,HiFi sample received,HiFi data generation,HiFi data  submitted to AnVIL,10X Genomics Center Information ,10X Genomics sample received,10X Genomics data generation,10X Genomics data submitted to AnVIL,BioNano Genomics Center Information,BioNano Genomics sample received,BioNano Genomics data generation,BioNano Genomics data submitted to AnVIL,Nanopore Standard Center Information,Nanopore Standard sample received,Nanopore Standard Unsheared data generation,Nanopore Standard Unsheared data submitted to AnVIL,Nanopore UL Center Information,Nanopore UL sample received,Nanopore UL data generation,Nanopore UL data submitted to AnVIL,Hi-C Center Information,Hi-C sample received,Hi-C data generation,Hi-C data submitted to AnVIL,Strand-seq Center Information,Strand-seq sample received,Strand-seq data generation,Strand-seq data  submitted to AnVIL,Kinnex Center Information,Kinnex sample received,Kinnex data generation,Kinnex data  submitted to AnVIL
1,HG01891,BB05,female,ACB,AFR,YR1,Pellets Banked (11/25/19),Completed (12/22/19),Completed (01/10),Pellets Banked (02/24),UW,12/5/19,"Topped off, Est. Complete = 64.2X",Complete,RU,12/12/2019,on hold ,,RU,12/12/2019,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,12/05/19,Completed,Completed,EMBL,12/16/19,Completed,Completed,WashU,,,
2,HG02486,BB55,male,ACB,AFR,YR1,Pellets Banked (11/25/19),Completed (12/17/19),Completed (01/10),Pellets Banked (02/24),UW,12/5/19,"Topped off, Est. Complete = 62.7X",Complete,RU,12/12/2019,on hold ,,RU,12/12/2019,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,12/05/19,Completed,Completed,EMBL,12/16/19,Completed,Completed,WashU,,,
3,HG02559,BB68,female,ACB,AFR,YR1,Pellets Banked (11/25/19),Completed (12/22/19),Completed (01/10),Pellets Banked (02/24),UW,12/5/19,"Topped off, Est. Complete = 63.5X",Complete,RU,12/12/2019,on hold ,,RU,12/12/2019,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,12/05/19,Completed,Completed,EMBL,12/16/19,"In progress (resorted, library to be prepared)",,WashU,,,
4,HG01888,BB02,male,ACB,AFR,"Fail Karyo, StrandSeq only",Pellets Banked (11/25/19),Completed (12/22/19),Completed (01/10),Pellets Banked (02/24),UW,12/5/19,on hold (karyotype report),,RU,12/12/2019,on hold ,,RU,12/12/2019,on hold (karyotype report),,Sample received 01/09/20,,,,UCSC,1/9/20,,,UCSC,12/05/19,dropped (abnormal karyotype),,EMBL,12/16/19,Completed,Completed,,,,
5,HG02257,BB21,female,ACB,AFR,YR1,Pellets Banked (11/25/19),Completed (12/17/19),Completed (01/10),Pellets Banked (02/24),UW,12/5/19,"Topped off, Est. Complete = 65.7X",Complete,RU,12/12/2019,on hold ,,RU,12/12/2019,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,12/05/19,Completed,Completed,EMBL,12/16/19,Completed,Completed,WashU,,,
6,HG01138,CLM08,male,CLM,AMR,"Fail Karyo, StrandSeq only",Pellets Banked (11/25/19),Completed (12/17/19),Completed (01/10),Pellets Banked (02/24),UW,12/5/19,on hold (karyotype report),,RU,12/12/2019,on hold ,,RU,12/12/2019,on hold (karyotype report),,Sample received 01/09/20,,,,UCSC,1/9/20,,,UCSC,12/05/19,dropped (abnormal karyotype),,EMBL,12/16/19,Completed,Completed,,,,
7,HG01358,CLM31,male,CLM,AMR,YR1,Pellets Banked (11/25/19),Completed (12/17/19),Completed (01/10),Pellets Banked (02/24),UW,12/5/19,"Topped off, Est. Complete = 57.9X",Complete,RU,12/12/2019,on hold ,,RU,12/12/2019,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,12/05/19,Complete,Complete,EMBL,12/16/19,Completed,Completed,WashU,,,
8,HG01123,CLM02,female,CLM,AMR,YR1,Pellets Banked (11/25/19),Completed (12/15/19),Completed (01/10),Pellets Banked (02/24),UW,12/5/19,"Topped off, Est. Complete = 70.4X",Complete,RU,12/12/2019,on hold ,,RU,12/12/2019,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,12/05/19,Complete,Complete,EMBL,12/16/19,Completed,Completed,WashU,,,
9,HG01361,CLM32,female,CLM,AMR,YR1,Pellets Banked (11/25/19),Completed (12/22/19),Completed (01/10),Pellets Banked (02/24),UW,12/5/19,"Topped off, Est. Complete = 79X",Complete,RU,12/12/2019,on hold ,,RU,12/12/2019,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,12/05/19,Complete,Complete,EMBL,12/16/19,In progress (sorted),,WashU,,,
10,HG01258,CLM16,male,CLM,AMR,YR1,Pellets Banked (11/25/19),Completed (12/22/19),Completed (01/10),Pellets Banked (02/24),UW,12/5/19,"Topped off, Est. Complete = 64.2X",Complete,RU,12/12/2019,on hold ,,RU,12/12/2019,Complete,Complete,Sample received 01/09/20,,,,UCSC,1/9/20,Complete,Complete,UCSC,12/05/19,Complete,Complete,EMBL,12/16/19,In progress (sorted),,WashU,,,
