sample_id,read_files_downsampled,number_of_read_files_downsampled,total_coverage_downsampled,number_of_cores_per_task_downsampled,mapper_preset,kmer_size,read_files,number_of_read_files,total_coverage,coverage,number_of_cores_per_task,instrument_model,hmm_flagger_window_size,hmm_flagger_alpha_tsv
HG00097,"['s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam', 's3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2086.bam', 's3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2086.bam']",3,63.7,21,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam', 's3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2086.bam', 's3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2086.bam']",3,63.699999999999996,"[26.4, 19.2, 18.1]",21,"['Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00106,"['s3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231027_202621_s3.hifi_reads.bc2070.bam', 's3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231029_023649_s3.hifi_reads.bc2070.bam', 's3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231112_034048_s4.hifi_reads.bc2070.bam']",3,61.4,21,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231027_202621_s3.hifi_reads.bc2070.bam', 's3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231029_023649_s3.hifi_reads.bc2070.bam', 's3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231112_034048_s4.hifi_reads.bc2070.bam']",3,61.4,"[27.9, 27.9, 5.6]",21,"['Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00117,"['s3://human-pangenomics/working/HPRC/HG00117/raw_data/PacBio_HiFi/m84081_231112_020730_s1.hifi_reads.bc2071.bam', 's3://human-pangenomics/working/HPRC/HG00117/raw_data/PacBio_HiFi/m84081_231110_195735_s1.hifi_reads.bc2071.bam']",2,63.5,32,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00117/raw_data/PacBio_HiFi/m84081_231110_195735_s1.hifi_reads.bc2071.bam', 's3://human-pangenomics/working/HPRC/HG00117/raw_data/PacBio_HiFi/m84081_231112_020730_s1.hifi_reads.bc2071.bam']",2,63.5,"[29.9, 33.6]",32,"['Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00126,"['s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2043.bam', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2043.bam', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2043.bam', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2043.bam', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2043.bam']",5,63.8,12,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2043.bam', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2043.bam', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2043.bam', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2043.bam', 's3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2043.bam']",5,63.79999999999999,"[17.9, 8.7, 10.1, 19.2, 7.9]",12,"['Revio', 'Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00128,"['s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2069--bc2069.bam', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2044.bam', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2044.bam', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2044.bam']",4,66.3,16,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2044.bam', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2044.bam', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2044.bam', 's3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2069--bc2069.bam']",4,66.3,"[13.9, 10.7, 15.2, 26.5]",16,"['Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00133,"['s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2045.bam', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2045.bam', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2045.bam', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2045.bam', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2045.bam', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2085.bam']",6,66.0,10,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2045.bam', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2045.bam', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2045.bam', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2085.bam', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2045.bam', 's3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2045.bam']",6,65.99999999999999,"[14.3, 8.6, 9.7, 7.6, 10.2, 15.6]",10,"['Revio', 'Revio', 'Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00146,"['s3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_HiFi/m84081_230616_182824_s3.hifi_reads.bc2013.bam', 's3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_HiFi/m84081_230616_185930_s4.hifi_reads.bc2013.bam']",2,72.6,32,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_HiFi/m84081_230616_182824_s3.hifi_reads.bc2013.bam', 's3://human-pangenomics/working/HPRC/HG00146/raw_data/PacBio_HiFi/m84081_230616_185930_s4.hifi_reads.bc2013.bam']",2,72.6,"[36.5, 36.1]",32,"['Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00232,"['s3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230623_205201_s2.hifi_reads.bc2014.bam', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230623_202140_s1.hifi_reads.bc2014.bam', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230714_215730_s4.hifi_reads.bc2014.bam', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230714_212624_s3.hifi_reads.bc2014.bam', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230714_205519_s2.hifi_reads.bc2014.bam']",5,60.3,12,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230623_202140_s1.hifi_reads.bc2014.bam', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230623_205201_s2.hifi_reads.bc2014.bam', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230714_201817_s1.hifi_reads.bc2014.bam', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230714_205519_s2.hifi_reads.bc2014.bam', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230714_212624_s3.hifi_reads.bc2014.bam', 's3://human-pangenomics/working/HPRC/HG00232/raw_data/PacBio_HiFi/m84081_230714_215730_s4.hifi_reads.bc2014.bam']",6,62.3,"[26.2, 26.7, 2.0, 2.3, 2.5, 2.6]",10,"['Revio', 'Revio', 'Revio', 'Revio', 'Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00235,"['s3://human-pangenomics/working/HPRC/HG00235/raw_data/PacBio_HiFi/m84091_230724_170222_s4.hifi_reads.bc1008.bam', 's3://human-pangenomics/working/HPRC/HG00235/raw_data/PacBio_HiFi/m84091_230721_141900_s2.hifi_reads.bc1008.bam']",2,61.6,32,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00235/raw_data/PacBio_HiFi/m84091_230721_141900_s2.hifi_reads.bc1008.bam', 's3://human-pangenomics/working/HPRC/HG00235/raw_data/PacBio_HiFi/m84091_230724_170222_s4.hifi_reads.bc1008.bam']",2,61.599999999999994,"[29.2, 32.4]",32,"['Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
HG00243,"['s3://human-pangenomics/working/HPRC/HG00243/raw_data/PacBio_HiFi/m84091_230712_180444_s4.hifi_reads.bc1018.bam', 's3://human-pangenomics/working/HPRC/HG00243/raw_data/PacBio_HiFi/m84091_230719_162122_s2.hifi_reads.bc1018.bam']",2,59.9,32,lr:hqae,25,"['s3://human-pangenomics/working/HPRC/HG00243/raw_data/PacBio_HiFi/m84091_230712_180444_s4.hifi_reads.bc1018.bam', 's3://human-pangenomics/working/HPRC/HG00243/raw_data/PacBio_HiFi/m84091_230719_162122_s2.hifi_reads.bc1018.bam']",2,59.9,"[30.4, 29.5]",32,"['Revio', 'Revio']",16000,https://raw.githubusercontent.com/mobinasri/flagger/refs/heads/main/misc/alpha_tsv/HiFi_DC_1.2/alpha_optimum_trunc_exp_gaussian_w_16000_n_50.HiFi_DC_1.2_DEC_2024.v1.1.0.tsv
