sample_id,overlap_filtered_path_asat,public_link_asat,public_link_hsat,public_link_rm,aws_fasta
HG002_maternal,/private/groups/hprc/qc_hmm_flagger/hprc_intermediate_assembly/assembly_qc/hprc_r1/censat/asat_overlap_filtered/AS-HOR+SF-vs-HG002-maternal.overlap_filtered.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR%2BSF-vs-HG002-maternal.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG002.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG002.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.maternal.f1_assembly_v2_genbank.fa.gz
HG002_paternal,/private/groups/hprc/qc_hmm_flagger/hprc_intermediate_assembly/assembly_qc/hprc_r1/censat/asat_overlap_filtered/AS-HOR+SF-vs-HG002-paternal.overlap_filtered.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR%2BSF-vs-HG002-paternal.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG002.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG002.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.paternal.f1_assembly_v2_genbank.fa.gz
HG00438_maternal,/private/groups/hprc/qc_hmm_flagger/hprc_intermediate_assembly/assembly_qc/hprc_r1/censat/asat_overlap_filtered/AS-HOR+SF-vs-HG00438-maternal.overlap_filtered.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR%2BSF-vs-HG00438-maternal.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00438.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00438.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.maternal.f1_assembly_v2_genbank.fa.gz
HG00438_paternal,/private/groups/hprc/qc_hmm_flagger/hprc_intermediate_assembly/assembly_qc/hprc_r1/censat/asat_overlap_filtered/AS-HOR+SF-vs-HG00438-paternal.overlap_filtered.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR%2BSF-vs-HG00438-paternal.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00438.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00438.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.paternal.f1_assembly_v2_genbank.fa.gz
HG005_maternal,/private/groups/hprc/qc_hmm_flagger/hprc_intermediate_assembly/assembly_qc/hprc_r1/censat/asat_overlap_filtered/AS-HOR+SF-vs-HG005-maternal.overlap_filtered.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR%2BSF-vs-HG005-maternal.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG005.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG005.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/HG005.maternal.f1_assembly_v2_genbank.fa.gz
HG005_paternal,/private/groups/hprc/qc_hmm_flagger/hprc_intermediate_assembly/assembly_qc/hprc_r1/censat/asat_overlap_filtered/AS-HOR+SF-vs-HG005-paternal.overlap_filtered.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR%2BSF-vs-HG005-paternal.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG005.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG005.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/HG005.paternal.f1_assembly_v2_genbank.fa.gz
HG00621_maternal,/private/groups/hprc/qc_hmm_flagger/hprc_intermediate_assembly/assembly_qc/hprc_r1/censat/asat_overlap_filtered/AS-HOR+SF-vs-HG00621-maternal.overlap_filtered.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR%2BSF-vs-HG00621-maternal.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00621.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00621.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/HG00621.maternal.f1_assembly_v2_genbank.fa.gz
HG00621_paternal,/private/groups/hprc/qc_hmm_flagger/hprc_intermediate_assembly/assembly_qc/hprc_r1/censat/asat_overlap_filtered/AS-HOR+SF-vs-HG00621-paternal.overlap_filtered.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR%2BSF-vs-HG00621-paternal.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00621.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00621.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/HG00621.paternal.f1_assembly_v2_genbank.fa.gz
HG00673_maternal,/private/groups/hprc/qc_hmm_flagger/hprc_intermediate_assembly/assembly_qc/hprc_r1/censat/asat_overlap_filtered/AS-HOR+SF-vs-HG00673-maternal.overlap_filtered.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR%2BSF-vs-HG00673-maternal.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00673.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00673.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/HG00673.maternal.f1_assembly_v2_genbank.fa.gz
HG00673_paternal,/private/groups/hprc/qc_hmm_flagger/hprc_intermediate_assembly/assembly_qc/hprc_r1/censat/asat_overlap_filtered/AS-HOR+SF-vs-HG00673-paternal.overlap_filtered.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR%2BSF-vs-HG00673-paternal.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00673.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00673.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/HG00673.paternal.f1_assembly_v2_genbank.fa.gz
