sample_id,mapping_info,alignment_link,hap1_assembly_name,hap1_assembly,hap2_assembly_name,hap2_assembly,hap2_pileup_bigwig,hap2_pileup_bed,hap1_pileup_bigwig,hap1_pileup_bed,hap1_pileup_bed_s3_path,hap1_pileup_bigwig_s3_path,hap2_pileup_bigwig_s3_path,hap2_pileup_bed_s3_path
HG00408,R941_minimap2_2.28,s3://human-pangenomics/submissions/ca366a13-5bad-487b-8a57-97344e9aa0e4--HPRC_RELEASE_2_SUPPLEMENTARY_ASSEMBLY_QC/HG00408/hprc_r2/assembly_qc/read_alignments/ont/HG00408.R941_minimap2_2.28.corrected.bam,HG00408_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz,HG00408_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_mat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/methylation/ont_modkit/processing/HG00408/analysis/hprc_modkit_pileup_outputs/d2be0077-462d-4e48-bf69-57c041f6f947/HG00408_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG00408/analysis/hprc_modkit_pileup_outputs/8c70a4cf-7b1b-443e-8c83-9409b77034b0/HG00408_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,/private/groups/hprc/methylation/ont_modkit/processing/HG00408/analysis/hprc_modkit_pileup_outputs/32082817-c6ab-4102-80cc-9df16e4b0e92/HG00408_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG00408/analysis/hprc_modkit_pileup_outputs/8c70a4cf-7b1b-443e-8c83-9409b77034b0/HG00408_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/annotation/methylation/ont/HG00408_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/annotation/methylation/ont/HG00408_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/annotation/methylation/ont/HG00408_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/annotation/methylation/ont/HG00408_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed
HG00597,R941_minimap2_2.28,s3://human-pangenomics/submissions/ca366a13-5bad-487b-8a57-97344e9aa0e4--HPRC_RELEASE_2_SUPPLEMENTARY_ASSEMBLY_QC/HG00597/hprc_r2/assembly_qc/read_alignments/ont/HG00597.R941_minimap2_2.28.corrected.bam,HG00597_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/HG00597_pat_hprc_r2_v1.0.1.fa.gz,HG00597_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/HG00597_mat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/methylation/ont_modkit/processing/HG00597/analysis/hprc_modkit_pileup_outputs/067d787c-f5bd-4749-a147-56e512c87e66/HG00597_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG00597/analysis/hprc_modkit_pileup_outputs/9caec7f2-b927-4ee0-8721-5ebeae5946f9/HG00597_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,/private/groups/hprc/methylation/ont_modkit/processing/HG00597/analysis/hprc_modkit_pileup_outputs/bf2558c6-3c9b-4a89-91d1-680b2df596d1/HG00597_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG00597/analysis/hprc_modkit_pileup_outputs/9caec7f2-b927-4ee0-8721-5ebeae5946f9/HG00597_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/annotation/methylation/ont/HG00597_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/annotation/methylation/ont/HG00597_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/annotation/methylation/ont/HG00597_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/annotation/methylation/ont/HG00597_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed
HG01192,R941_minimap2_2.28,s3://human-pangenomics/submissions/ca366a13-5bad-487b-8a57-97344e9aa0e4--HPRC_RELEASE_2_SUPPLEMENTARY_ASSEMBLY_QC/HG01192/hprc_r2/assembly_qc/read_alignments/ont/HG01192.R941_minimap2_2.28.corrected.bam,HG01192_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz,HG01192_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_mat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/methylation/ont_modkit/processing/HG01192/analysis/hprc_modkit_pileup_outputs/620daac1-1823-4f8b-9775-154a07347f32/HG01192_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG01192/analysis/hprc_modkit_pileup_outputs/a1575dc7-565c-4545-8f4f-b88ea41023c0/HG01192_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,/private/groups/hprc/methylation/ont_modkit/processing/HG01192/analysis/hprc_modkit_pileup_outputs/1677ba38-0cde-404b-b897-b7d2330b1e01/HG01192_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG01192/analysis/hprc_modkit_pileup_outputs/a1575dc7-565c-4545-8f4f-b88ea41023c0/HG01192_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/annotation/methylation/ont/HG01192_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/annotation/methylation/ont/HG01192_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/annotation/methylation/ont/HG01192_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/annotation/methylation/ont/HG01192_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed
HG01261,R941_minimap2_2.28,s3://human-pangenomics/submissions/ca366a13-5bad-487b-8a57-97344e9aa0e4--HPRC_RELEASE_2_SUPPLEMENTARY_ASSEMBLY_QC/HG01261/hprc_r2/assembly_qc/read_alignments/ont/HG01261.R941_minimap2_2.28.corrected.bam,HG01261_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz,HG01261_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_mat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/methylation/ont_modkit/processing/HG01261/analysis/hprc_modkit_pileup_outputs/a53b38d9-34ae-4e9c-bacf-9c49a218b070/HG01261_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG01261/analysis/hprc_modkit_pileup_outputs/dd38207a-0919-4a81-9a14-3565aeac712a/HG01261_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,/private/groups/hprc/methylation/ont_modkit/processing/HG01261/analysis/hprc_modkit_pileup_outputs/954d5059-bdcf-4949-afbc-4446b1631f75/HG01261_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG01261/analysis/hprc_modkit_pileup_outputs/dd38207a-0919-4a81-9a14-3565aeac712a/HG01261_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/annotation/methylation/ont/HG01261_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/annotation/methylation/ont/HG01261_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/annotation/methylation/ont/HG01261_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/annotation/methylation/ont/HG01261_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed
HG02015,R941_minimap2_2.28,s3://human-pangenomics/submissions/ca366a13-5bad-487b-8a57-97344e9aa0e4--HPRC_RELEASE_2_SUPPLEMENTARY_ASSEMBLY_QC/HG02015/hprc_r2/assembly_qc/read_alignments/ont/HG02015.R941_minimap2_2.28.corrected.bam,HG02015_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/HG02015_pat_hprc_r2_v1.0.1.fa.gz,HG02015_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/HG02015_mat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/methylation/ont_modkit/processing/HG02015/analysis/hprc_modkit_pileup_outputs/3ebca886-b2c5-4905-96e4-80fe6965c9e7/HG02015_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG02015/analysis/hprc_modkit_pileup_outputs/930b44c5-36ee-4ff5-bf90-eea75fef5a0d/HG02015_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,/private/groups/hprc/methylation/ont_modkit/processing/HG02015/analysis/hprc_modkit_pileup_outputs/f6d56eb6-4c03-4c51-974b-a5439a8866db/HG02015_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG02015/analysis/hprc_modkit_pileup_outputs/930b44c5-36ee-4ff5-bf90-eea75fef5a0d/HG02015_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/annotation/methylation/ont/HG02015_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/annotation/methylation/ont/HG02015_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/annotation/methylation/ont/HG02015_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/annotation/methylation/ont/HG02015_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed
HG02056,R941_minimap2_2.28,s3://human-pangenomics/submissions/ca366a13-5bad-487b-8a57-97344e9aa0e4--HPRC_RELEASE_2_SUPPLEMENTARY_ASSEMBLY_QC/HG02056/hprc_r2/assembly_qc/read_alignments/ont/HG02056.R941_minimap2_2.28.corrected.bam,HG02056_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/HG02056_pat_hprc_r2_v1.0.1.fa.gz,HG02056_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/HG02056_mat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/methylation/ont_modkit/processing/HG02056/analysis/hprc_modkit_pileup_outputs/da549b43-aa3f-4893-8d32-56af16af71f1/HG02056_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG02056/analysis/hprc_modkit_pileup_outputs/04e3fc58-d25c-4103-84eb-ea138e889ce2/HG02056_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,/private/groups/hprc/methylation/ont_modkit/processing/HG02056/analysis/hprc_modkit_pileup_outputs/1761deed-7ed5-4265-98fc-ec1ccc7c4c3f/HG02056_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG02056/analysis/hprc_modkit_pileup_outputs/04e3fc58-d25c-4103-84eb-ea138e889ce2/HG02056_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/annotation/methylation/ont/HG02056_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/annotation/methylation/ont/HG02056_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/annotation/methylation/ont/HG02056_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/annotation/methylation/ont/HG02056_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed
HG02129,R941_minimap2_2.28,s3://human-pangenomics/submissions/ca366a13-5bad-487b-8a57-97344e9aa0e4--HPRC_RELEASE_2_SUPPLEMENTARY_ASSEMBLY_QC/HG02129/hprc_r2/assembly_qc/read_alignments/ont/HG02129.R941_minimap2_2.28.corrected.bam,HG02129_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/HG02129_pat_hprc_r2_v1.0.1.fa.gz,HG02129_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/HG02129_mat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/methylation/ont_modkit/processing/HG02129/analysis/hprc_modkit_pileup_outputs/7c04cd52-abac-43f5-85e4-0dd198654450/HG02129_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG02129/analysis/hprc_modkit_pileup_outputs/3f853ebe-e928-4d4b-9cf0-7c12126856ee/HG02129_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,/private/groups/hprc/methylation/ont_modkit/processing/HG02129/analysis/hprc_modkit_pileup_outputs/5df507b8-e264-4054-b25c-a6459f607172/HG02129_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG02129/analysis/hprc_modkit_pileup_outputs/3f853ebe-e928-4d4b-9cf0-7c12126856ee/HG02129_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/annotation/methylation/ont/HG02129_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/annotation/methylation/ont/HG02129_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/annotation/methylation/ont/HG02129_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/annotation/methylation/ont/HG02129_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed
HG02258,R941_minimap2_2.28,s3://human-pangenomics/submissions/ca366a13-5bad-487b-8a57-97344e9aa0e4--HPRC_RELEASE_2_SUPPLEMENTARY_ASSEMBLY_QC/HG02258/hprc_r2/assembly_qc/read_alignments/ont/HG02258.R941_minimap2_2.28.corrected.bam,HG02258_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/HG02258_pat_hprc_r2_v1.0.1.fa.gz,HG02258_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/HG02258_mat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/methylation/ont_modkit/processing/HG02258/analysis/hprc_modkit_pileup_outputs/fe4352f2-0cff-4038-8bd0-1dd1b083f5e2/HG02258_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG02258/analysis/hprc_modkit_pileup_outputs/976c58f4-7775-4f66-923d-8fbe080e4ef5/HG02258_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,/private/groups/hprc/methylation/ont_modkit/processing/HG02258/analysis/hprc_modkit_pileup_outputs/a079cc84-9aef-4568-956a-ad0bfd566369/HG02258_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG02258/analysis/hprc_modkit_pileup_outputs/976c58f4-7775-4f66-923d-8fbe080e4ef5/HG02258_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/annotation/methylation/ont/HG02258_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/annotation/methylation/ont/HG02258_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/annotation/methylation/ont/HG02258_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/annotation/methylation/ont/HG02258_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed
HG03834,R941_minimap2_2.28,s3://human-pangenomics/submissions/ca366a13-5bad-487b-8a57-97344e9aa0e4--HPRC_RELEASE_2_SUPPLEMENTARY_ASSEMBLY_QC/HG03834/hprc_r2/assembly_qc/read_alignments/ont/HG03834.R941_minimap2_2.28.corrected.bam,HG03834_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/HG03834_pat_hprc_r2_v1.0.1.fa.gz,HG03834_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/HG03834_mat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/methylation/ont_modkit/processing/HG03834/analysis/hprc_modkit_pileup_outputs/3c4d72c9-7c9d-403b-b138-2e1173af89ba/HG03834_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG03834/analysis/hprc_modkit_pileup_outputs/1e71c0d0-28fe-49b4-b8d2-9fd68c1410d0/HG03834_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,/private/groups/hprc/methylation/ont_modkit/processing/HG03834/analysis/hprc_modkit_pileup_outputs/4005dbc0-7533-4a33-beea-5173847de058/HG03834_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG03834/analysis/hprc_modkit_pileup_outputs/1e71c0d0-28fe-49b4-b8d2-9fd68c1410d0/HG03834_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/annotation/methylation/ont/HG03834_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/annotation/methylation/ont/HG03834_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/annotation/methylation/ont/HG03834_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/annotation/methylation/ont/HG03834_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed
HG01975,R941_minimap2_2.28,s3://human-pangenomics/submissions/ca366a13-5bad-487b-8a57-97344e9aa0e4--HPRC_RELEASE_2_SUPPLEMENTARY_ASSEMBLY_QC/HG01975/hprc_r2/assembly_qc/read_alignments/ont/HG01975.R941_minimap2_2.28.corrected.bam,HG01975_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_pat_hprc_r2_v1.0.1.fa.gz,HG01975_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_mat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/methylation/ont_modkit/processing/HG01975/analysis/hprc_modkit_pileup_outputs/23fabd7f-6020-4db3-8f71-71949411f820/HG01975_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG01975/analysis/hprc_modkit_pileup_outputs/97ce380d-dfb7-4f59-afcf-2f9513334527/HG01975_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,/private/groups/hprc/methylation/ont_modkit/processing/HG01975/analysis/hprc_modkit_pileup_outputs/ec4683c3-d937-408f-b78e-646c095a67a0/HG01975_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,/private/groups/hprc/methylation/ont_modkit/processing/HG01975/analysis/hprc_modkit_pileup_outputs/97ce380d-dfb7-4f59-afcf-2f9513334527/HG01975_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/annotation/methylation/ont/HG01975_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/annotation/methylation/ont/HG01975_pat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/annotation/methylation/ont/HG01975_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.5mC.bigwig,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/annotation/methylation/ont/HG01975_mat_hprc_r2_v1.0.1.R941_minimap2_2.28.CpG_pileup.bed
