sample_id,haplotype,assembly_name,location
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00097/assemblies/release2/alignments/winnowmap/CHM13v2/HG00097.CHM13v2.hap1.sorted.bam
HG00097,2,HG00097_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00097/assemblies/release2/alignments/winnowmap/CHM13v2/HG00097.CHM13v2.hap2.sorted.bam
HG00099,1,HG00099_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00099/assemblies/release2/alignments/winnowmap/CHM13v2/HG00099.CHM13v2.hap1.sorted.bam
HG00099,2,HG00099_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00099/assemblies/release2/alignments/winnowmap/CHM13v2/HG00099.CHM13v2.hap2.sorted.bam
HG00126,1,HG00126_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00126/assemblies/release2/alignments/winnowmap/CHM13v2/HG00126.CHM13v2.hap1.sorted.bam
HG00126,2,HG00126_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00126/assemblies/release2/alignments/winnowmap/CHM13v2/HG00126.CHM13v2.hap2.sorted.bam
HG00128,1,HG00128_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00128/assemblies/release2/alignments/winnowmap/CHM13v2/HG00128.CHM13v2.hap1.sorted.bam
HG00128,2,HG00128_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00128/assemblies/release2/alignments/winnowmap/CHM13v2/HG00128.CHM13v2.hap2.sorted.bam
HG00133,1,HG00133_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00133/assemblies/release2/alignments/winnowmap/CHM13v2/HG00133.CHM13v2.hap1.sorted.bam
HG00133,2,HG00133_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00133/assemblies/release2/alignments/winnowmap/CHM13v2/HG00133.CHM13v2.hap2.sorted.bam
HG00140,1,HG00140_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00140/assemblies/release2/alignments/winnowmap/CHM13v2/HG00140.CHM13v2.hap1.sorted.bam
HG00140,2,HG00140_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00140/assemblies/release2/alignments/winnowmap/CHM13v2/HG00140.CHM13v2.hap2.sorted.bam
HG00146,1,HG00146_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00146/assemblies/release2/alignments/winnowmap/CHM13v2/HG00146.CHM13v2.hap1.sorted.bam
HG00146,2,HG00146_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00146/assemblies/release2/alignments/winnowmap/CHM13v2/HG00146.CHM13v2.hap2.sorted.bam
HG00232,1,HG00232_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00232/assemblies/release2/alignments/winnowmap/CHM13v2/HG00232.CHM13v2.hap1.sorted.bam
HG00232,2,HG00232_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00232/assemblies/release2/alignments/winnowmap/CHM13v2/HG00232.CHM13v2.hap2.sorted.bam
HG00235,1,HG00235_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00235/assemblies/release2/alignments/winnowmap/CHM13v2/HG00235.CHM13v2.hap1.sorted.bam
HG00235,2,HG00235_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00235/assemblies/release2/alignments/winnowmap/CHM13v2/HG00235.CHM13v2.hap2.sorted.bam
HG00253,1,HG00253_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00253/assemblies/release2/alignments/winnowmap/CHM13v2/HG00253.CHM13v2.hap1.sorted.bam
HG00253,2,HG00253_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00253/assemblies/release2/alignments/winnowmap/CHM13v2/HG00253.CHM13v2.hap2.sorted.bam
HG00272,1,HG00272_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00272/assemblies/release2/alignments/winnowmap/CHM13v2/HG00272.CHM13v2.hap1.sorted.bam
HG00272,2,HG00272_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00272/assemblies/release2/alignments/winnowmap/CHM13v2/HG00272.CHM13v2.hap2.sorted.bam
HG00280,1,HG00280_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00280/assemblies/release2/alignments/winnowmap/CHM13v2/HG00280.CHM13v2.hap1.sorted.bam
HG00280,2,HG00280_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00280/assemblies/release2/alignments/winnowmap/CHM13v2/HG00280.CHM13v2.hap2.sorted.bam
HG00290,1,HG00290_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00290/assemblies/release2/alignments/winnowmap/CHM13v2/HG00290.CHM13v2.hap1.sorted.bam
HG00290,2,HG00290_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00290/assemblies/release2/alignments/winnowmap/CHM13v2/HG00290.CHM13v2.hap2.sorted.bam
HG00320,1,HG00320_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00320/assemblies/release2/alignments/winnowmap/CHM13v2/HG00320.CHM13v2.hap1.sorted.bam
HG00320,2,HG00320_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00320/assemblies/release2/alignments/winnowmap/CHM13v2/HG00320.CHM13v2.hap2.sorted.bam
HG00321,1,HG00321_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00321/assemblies/release2/alignments/winnowmap/CHM13v2/HG00321.CHM13v2.hap1.sorted.bam
HG00321,2,HG00321_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00321/assemblies/release2/alignments/winnowmap/CHM13v2/HG00321.CHM13v2.hap2.sorted.bam
HG00323,1,HG00323_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00323/assemblies/release2/alignments/winnowmap/CHM13v2/HG00323.CHM13v2.hap1.sorted.bam
HG00323,2,HG00323_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00323/assemblies/release2/alignments/winnowmap/CHM13v2/HG00323.CHM13v2.hap2.sorted.bam
HG00329,1,HG00329_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00329/assemblies/release2/alignments/winnowmap/CHM13v2/HG00329.CHM13v2.hap1.sorted.bam
HG00329,2,HG00329_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00329/assemblies/release2/alignments/winnowmap/CHM13v2/HG00329.CHM13v2.hap2.sorted.bam
HG00344,1,HG00344_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00344/assemblies/release2/alignments/winnowmap/CHM13v2/HG00344.CHM13v2.hap1.sorted.bam
HG00344,2,HG00344_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00344/assemblies/release2/alignments/winnowmap/CHM13v2/HG00344.CHM13v2.hap2.sorted.bam
HG00350,1,HG00350_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00350/assemblies/release2/alignments/winnowmap/CHM13v2/HG00350.CHM13v2.hap1.sorted.bam
HG00350,2,HG00350_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00350/assemblies/release2/alignments/winnowmap/CHM13v2/HG00350.CHM13v2.hap2.sorted.bam
HG00408,1,HG00408_pat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00408/assemblies/release2/alignments/winnowmap/CHM13v2/HG00408.CHM13v2.hap1.sorted.bam
HG00408,2,HG00408_mat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00408/assemblies/release2/alignments/winnowmap/CHM13v2/HG00408.CHM13v2.hap2.sorted.bam
HG00423,1,HG00423_pat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00423/assemblies/release2/alignments/winnowmap/CHM13v2/HG00423.CHM13v2.hap1.sorted.bam
HG00423,2,HG00423_mat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00423/assemblies/release2/alignments/winnowmap/CHM13v2/HG00423.CHM13v2.hap2.sorted.bam
HG00438,1,HG00438_pat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00438/assemblies/release2/alignments/winnowmap/CHM13v2/HG00438.CHM13v2.hap1.sorted.bam
HG00438,2,HG00438_mat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00438/assemblies/release2/alignments/winnowmap/CHM13v2/HG00438.CHM13v2.hap2.sorted.bam
HG005,1,HG005_pat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/release2/alignments/winnowmap/CHM13v2/HG005.CHM13v2.hap1.sorted.bam
HG005,2,HG005_mat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/release2/alignments/winnowmap/CHM13v2/HG005.CHM13v2.hap2.sorted.bam
HG00544,1,HG00544_pat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00544/assemblies/release2/alignments/winnowmap/CHM13v2/HG00544.CHM13v2.hap1.sorted.bam
HG00544,2,HG00544_mat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00544/assemblies/release2/alignments/winnowmap/CHM13v2/HG00544.CHM13v2.hap2.sorted.bam
HG00558,1,HG00558_pat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00558/assemblies/release2/alignments/winnowmap/CHM13v2/HG00558.CHM13v2.hap1.sorted.bam
HG00558,2,HG00558_mat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00558/assemblies/release2/alignments/winnowmap/CHM13v2/HG00558.CHM13v2.hap2.sorted.bam
HG00597,1,HG00597_pat_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00597/assemblies/release2/alignments/winnowmap/CHM13v2/HG00597.CHM13v2.hap1.sorted.bam
