sample_id,haplotype,assembly_name,location
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00097/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00097.GRCh38_no_alt.hap1.sorted.bam.bai
HG00097,2,HG00097_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00097/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00097.GRCh38_no_alt.hap2.sorted.bam.bai
HG00099,1,HG00099_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00099/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00099.GRCh38_no_alt.hap1.sorted.bam.bai
HG00099,2,HG00099_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00099/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00099.GRCh38_no_alt.hap2.sorted.bam.bai
HG00126,1,HG00126_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00126/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00126.GRCh38_no_alt.hap1.sorted.bam.bai
HG00126,2,HG00126_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00126/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00126.GRCh38_no_alt.hap2.sorted.bam.bai
HG00128,1,HG00128_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00128/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00128.GRCh38_no_alt.hap1.sorted.bam.bai
HG00128,2,HG00128_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00128/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00128.GRCh38_no_alt.hap2.sorted.bam.bai
HG00133,1,HG00133_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00133/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00133.GRCh38_no_alt.hap1.sorted.bam.bai
HG00133,2,HG00133_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00133/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00133.GRCh38_no_alt.hap2.sorted.bam.bai
HG00140,1,HG00140_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00140/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00140.GRCh38_no_alt.hap1.sorted.bam.bai
HG00140,2,HG00140_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00140/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00140.GRCh38_no_alt.hap2.sorted.bam.bai
HG00146,1,HG00146_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00146/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00146.GRCh38_no_alt.hap1.sorted.bam.bai
HG00146,2,HG00146_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00146/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00146.GRCh38_no_alt.hap2.sorted.bam.bai
HG00232,1,HG00232_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00232/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00232.GRCh38_no_alt.hap1.sorted.bam.bai
HG00232,2,HG00232_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00232/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00232.GRCh38_no_alt.hap2.sorted.bam.bai
HG00235,1,HG00235_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00235/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00235.GRCh38_no_alt.hap1.sorted.bam.bai
HG00235,2,HG00235_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/working/HPRC/HG00235/assemblies/release2/alignments/winnowmap/GRCh38_no_alt/HG00235.GRCh38_no_alt.hap2.sorted.bam.bai
