sample_id,haplotype,assembly_name,location
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/alignments/CHM13v2/assemblies/HG00097.CHM13v2.hap1.sorted.bam
HG00097,2,HG00097_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/alignments/CHM13v2/assemblies/HG00097.CHM13v2.hap2.sorted.bam
HG00099,1,HG00099_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/alignments/CHM13v2/assemblies/HG00099.CHM13v2.hap1.sorted.bam
HG00099,2,HG00099_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/alignments/CHM13v2/assemblies/HG00099.CHM13v2.hap2.sorted.bam
HG00126,1,HG00126_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/alignments/CHM13v2/assemblies/HG00126.CHM13v2.hap1.sorted.bam
HG00126,2,HG00126_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/alignments/CHM13v2/assemblies/HG00126.CHM13v2.hap2.sorted.bam
HG00128,1,HG00128_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/alignments/CHM13v2/assemblies/HG00128.CHM13v2.hap1.sorted.bam
HG00128,2,HG00128_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/alignments/CHM13v2/assemblies/HG00128.CHM13v2.hap2.sorted.bam
HG00133,1,HG00133_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/alignments/CHM13v2/assemblies/HG00133.CHM13v2.hap1.sorted.bam
HG00133,2,HG00133_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/alignments/CHM13v2/assemblies/HG00133.CHM13v2.hap2.sorted.bam
HG00140,1,HG00140_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/alignments/CHM13v2/assemblies/HG00140.CHM13v2.hap1.sorted.bam
HG00140,2,HG00140_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/alignments/CHM13v2/assemblies/HG00140.CHM13v2.hap2.sorted.bam
HG00146,1,HG00146_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/alignments/CHM13v2/assemblies/HG00146.CHM13v2.hap1.sorted.bam
HG00146,2,HG00146_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/alignments/CHM13v2/assemblies/HG00146.CHM13v2.hap2.sorted.bam
HG00232,1,HG00232_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/alignments/CHM13v2/assemblies/HG00232.CHM13v2.hap1.sorted.bam
HG00232,2,HG00232_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/alignments/CHM13v2/assemblies/HG00232.CHM13v2.hap2.sorted.bam
HG00235,1,HG00235_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/alignments/CHM13v2/assemblies/HG00235.CHM13v2.hap1.sorted.bam
HG00235,2,HG00235_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/alignments/CHM13v2/assemblies/HG00235.CHM13v2.hap2.sorted.bam
HG00253,1,HG00253_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/alignments/CHM13v2/assemblies/HG00253.CHM13v2.hap1.sorted.bam
HG00253,2,HG00253_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/alignments/CHM13v2/assemblies/HG00253.CHM13v2.hap2.sorted.bam
HG00272,1,HG00272_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00272/alignments/CHM13v2/assemblies/HG00272.CHM13v2.hap1.sorted.bam
HG00272,2,HG00272_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00272/alignments/CHM13v2/assemblies/HG00272.CHM13v2.hap2.sorted.bam
HG00280,1,HG00280_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/alignments/CHM13v2/assemblies/HG00280.CHM13v2.hap1.sorted.bam
HG00280,2,HG00280_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/alignments/CHM13v2/assemblies/HG00280.CHM13v2.hap2.sorted.bam
HG00290,1,HG00290_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/alignments/CHM13v2/assemblies/HG00290.CHM13v2.hap1.sorted.bam
HG00290,2,HG00290_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/alignments/CHM13v2/assemblies/HG00290.CHM13v2.hap2.sorted.bam
HG00320,1,HG00320_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/alignments/CHM13v2/assemblies/HG00320.CHM13v2.hap1.sorted.bam
