sample_id,haplotype,assembly_name,location
HG00408,hap1,HG00408_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/annotation/censat/HG00408_pat_hprc_r2_v1.cenSat.bed
HG00408,hap2,HG00408_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/annotation/censat/HG00408_mat_hprc_r2_v1.cenSat.bed
HG00597,hap1,HG00597_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/annotation/censat/HG00597_pat_hprc_r2_v1.cenSat.bed
HG00597,hap2,HG00597_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/annotation/censat/HG00597_mat_hprc_r2_v1.cenSat.bed
HG01192,hap1,HG01192_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/annotation/censat/HG01192_pat_hprc_r2_v1.cenSat.bed
HG01192,hap2,HG01192_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/annotation/censat/HG01192_mat_hprc_r2_v1.cenSat.bed
HG01261,hap1,HG01261_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/annotation/censat/HG01261_pat_hprc_r2_v1.cenSat.bed
HG01261,hap2,HG01261_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/annotation/censat/HG01261_mat_hprc_r2_v1.cenSat.bed
HG02015,hap1,HG02015_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/annotation/censat/HG02015_pat_hprc_r2_v1.cenSat.bed
HG02015,hap2,HG02015_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/annotation/censat/HG02015_mat_hprc_r2_v1.cenSat.bed
HG02056,hap1,HG02056_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/annotation/censat/HG02056_pat_hprc_r2_v1.cenSat.bed
HG02056,hap2,HG02056_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/annotation/censat/HG02056_mat_hprc_r2_v1.cenSat.bed
HG02129,hap1,HG02129_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/annotation/censat/HG02129_pat_hprc_r2_v1.cenSat.bed
HG02129,hap2,HG02129_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/annotation/censat/HG02129_mat_hprc_r2_v1.cenSat.bed
HG02258,hap1,HG02258_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/annotation/censat/HG02258_pat_hprc_r2_v1.cenSat.bed
HG02258,hap2,HG02258_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/annotation/censat/HG02258_mat_hprc_r2_v1.cenSat.bed
HG03834,hap1,HG03834_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/annotation/censat/HG03834_pat_hprc_r2_v1.cenSat.bed
HG03834,hap2,HG03834_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/annotation/censat/HG03834_mat_hprc_r2_v1.cenSat.bed
HG00609,hap1,HG00609_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00609/assemblies/freeze_2/annotation/censat/HG00609_pat_hprc_r2_v1.cenSat.bed
HG00609,hap2,HG00609_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00609/assemblies/freeze_2/annotation/censat/HG00609_mat_hprc_r2_v1.cenSat.bed
HG00642,hap1,HG00642_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00642/assemblies/freeze_2/annotation/censat/HG00642_pat_hprc_r2_v1.cenSat.bed
HG00642,hap2,HG00642_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00642/assemblies/freeze_2/annotation/censat/HG00642_mat_hprc_r2_v1.cenSat.bed
HG00738,hap1,HG00738_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00738/assemblies/freeze_2/annotation/censat/HG00738_pat_hprc_r2_v1.cenSat.bed
HG00738,hap2,HG00738_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00738/assemblies/freeze_2/annotation/censat/HG00738_mat_hprc_r2_v1.cenSat.bed
HG01099,hap1,HG01099_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01099/assemblies/freeze_2/annotation/censat/HG01099_pat_hprc_r2_v1.cenSat.bed
HG01099,hap2,HG01099_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01099/assemblies/freeze_2/annotation/censat/HG01099_mat_hprc_r2_v1.cenSat.bed
HG01255,hap1,HG01255_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01255/assemblies/freeze_2/annotation/censat/HG01255_pat_hprc_r2_v1.cenSat.bed
HG01255,hap2,HG01255_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01255/assemblies/freeze_2/annotation/censat/HG01255_mat_hprc_r2_v1.cenSat.bed
HG01346,hap1,HG01346_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01346/assemblies/freeze_2/annotation/censat/HG01346_pat_hprc_r2_v1.cenSat.bed
HG01346,hap2,HG01346_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01346/assemblies/freeze_2/annotation/censat/HG01346_mat_hprc_r2_v1.cenSat.bed
HG01433,hap1,HG01433_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01433/assemblies/freeze_2/annotation/censat/HG01433_pat_hprc_r2_v1.cenSat.bed
HG01433,hap2,HG01433_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01433/assemblies/freeze_2/annotation/censat/HG01433_mat_hprc_r2_v1.cenSat.bed
HG01496,hap1,HG01496_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01496/assemblies/freeze_2/annotation/censat/HG01496_pat_hprc_r2_v1.cenSat.bed
HG01496,hap2,HG01496_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01496/assemblies/freeze_2/annotation/censat/HG01496_mat_hprc_r2_v1.cenSat.bed
HG01884,hap1,HG01884_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01884/assemblies/freeze_2/annotation/censat/HG01884_pat_hprc_r2_v1.cenSat.bed
HG01884,hap2,HG01884_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01884/assemblies/freeze_2/annotation/censat/HG01884_mat_hprc_r2_v1.cenSat.bed
HG01981,hap1,HG01981_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01981/assemblies/freeze_2/annotation/censat/HG01981_pat_hprc_r2_v1.cenSat.bed
HG01981,hap2,HG01981_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01981/assemblies/freeze_2/annotation/censat/HG01981_mat_hprc_r2_v1.cenSat.bed
HG01993,hap1,HG01993_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01993/assemblies/freeze_2/annotation/censat/HG01993_pat_hprc_r2_v1.cenSat.bed
HG01993,hap2,HG01993_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01993/assemblies/freeze_2/annotation/censat/HG01993_mat_hprc_r2_v1.cenSat.bed
HG02004,hap1,HG02004_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02004/assemblies/freeze_2/annotation/censat/HG02004_pat_hprc_r2_v1.cenSat.bed
HG02004,hap2,HG02004_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02004/assemblies/freeze_2/annotation/censat/HG02004_mat_hprc_r2_v1.cenSat.bed
HG02083,hap1,HG02083_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02083/assemblies/freeze_2/annotation/censat/HG02083_pat_hprc_r2_v1.cenSat.bed
HG02083,hap2,HG02083_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02083/assemblies/freeze_2/annotation/censat/HG02083_mat_hprc_r2_v1.cenSat.bed
HG02132,hap1,HG02132_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02132/assemblies/freeze_2/annotation/censat/HG02132_pat_hprc_r2_v1.cenSat.bed
HG02132,hap2,HG02132_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02132/assemblies/freeze_2/annotation/censat/HG02132_mat_hprc_r2_v1.cenSat.bed
HG02280,hap1,HG02280_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02280/assemblies/freeze_2/annotation/censat/HG02280_pat_hprc_r2_v1.cenSat.bed
HG02280,hap2,HG02280_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02280/assemblies/freeze_2/annotation/censat/HG02280_mat_hprc_r2_v1.cenSat.bed
HG02293,hap1,HG02293_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02293/assemblies/freeze_2/annotation/censat/HG02293_pat_hprc_r2_v1.cenSat.bed
HG02293,hap2,HG02293_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02293/assemblies/freeze_2/annotation/censat/HG02293_mat_hprc_r2_v1.cenSat.bed
HG02300,hap1,HG02300_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02300/assemblies/freeze_2/annotation/censat/HG02300_pat_hprc_r2_v1.cenSat.bed
HG02300,hap2,HG02300_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02300/assemblies/freeze_2/annotation/censat/HG02300_mat_hprc_r2_v1.cenSat.bed
HG02451,hap1,HG02451_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02451/assemblies/freeze_2/annotation/censat/HG02451_pat_hprc_r2_v1.cenSat.bed
HG02451,hap2,HG02451_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02451/assemblies/freeze_2/annotation/censat/HG02451_mat_hprc_r2_v1.cenSat.bed
HG02523,hap1,HG02523_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02523/assemblies/freeze_2/annotation/censat/HG02523_pat_hprc_r2_v1.cenSat.bed
HG02523,hap2,HG02523_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02523/assemblies/freeze_2/annotation/censat/HG02523_mat_hprc_r2_v1.cenSat.bed
HG02615,hap1,HG02615_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02615/assemblies/freeze_2/annotation/censat/HG02615_pat_hprc_r2_v1.cenSat.bed
HG02615,hap2,HG02615_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02615/assemblies/freeze_2/annotation/censat/HG02615_mat_hprc_r2_v1.cenSat.bed
HG02647,hap1,HG02647_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02647/assemblies/freeze_2/annotation/censat/HG02647_pat_hprc_r2_v1.cenSat.bed
HG02647,hap2,HG02647_mat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02647/assemblies/freeze_2/annotation/censat/HG02647_mat_hprc_r2_v1.cenSat.bed
HG02698,hap1,HG02698_pat_hprc_r2_v1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02698/assemblies/freeze_2/annotation/censat/HG02698_pat_hprc_r2_v1.cenSat.bed
