sample_id,haplotype,assembly_name,location
CHM13,0,chm13v2.0_maskedY_rCRS,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/CHM13/local_ancestry/bed/chm13v2.0_maskedY_rCRS.pclai.grch38_coord.bed
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00097/local_ancestry/bed/HG00097_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00097,2,HG00097_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00097/local_ancestry/bed/HG00097_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00099,1,HG00099_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00099/local_ancestry/bed/HG00099_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00099,2,HG00099_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00099/local_ancestry/bed/HG00099_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00126,1,HG00126_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00126/local_ancestry/bed/HG00126_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00126,2,HG00126_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00126/local_ancestry/bed/HG00126_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00128,1,HG00128_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00128/local_ancestry/bed/HG00128_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00128,2,HG00128_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00128/local_ancestry/bed/HG00128_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00133,1,HG00133_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00133/local_ancestry/bed/HG00133_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00133,2,HG00133_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00133/local_ancestry/bed/HG00133_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00140,1,HG00140_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00140/local_ancestry/bed/HG00140_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00140,2,HG00140_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00140/local_ancestry/bed/HG00140_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00146,1,HG00146_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00146/local_ancestry/bed/HG00146_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00146,2,HG00146_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00146/local_ancestry/bed/HG00146_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG002,1,hg002v1.1.pat,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG002/local_ancestry/bed/hg002v1.1.pat.pclai.grch38_coord.bed
HG002,2,hg002v1.1.mat_MT,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG002/local_ancestry/bed/hg002v1.1.mat_MT.pclai.grch38_coord.bed
HG00232,1,HG00232_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00232/local_ancestry/bed/HG00232_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00232,2,HG00232_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00232/local_ancestry/bed/HG00232_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
