sample_id,haplotype,assembly_name,browser
HG00408,1,HG00408_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900255.1
HG00597,1,HG00597_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900365.1
HG01192,1,HG01192_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900145.1
HG01261,1,HG01261_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900235.1
HG02015,1,HG02015_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900165.1
HG02056,1,HG02056_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041900085.1
HG02129,1,HG02129_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041899985.1
HG02258,1,HG02258_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041899975.1
HG03834,1,HG03834_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_041899965.1
HG01975,1,HG01975_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_046000135.1
HG02602,1,HG02602_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_046000095.1
HG04187,1,HG04187_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_046000115.1
NA18879,1,NA18879_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_046000005.1
NA20752,1,NA20752_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_046000145.1
HG02145,1,HG02145_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018852595.2
HG00609,1,HG00609_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027545.1
HG00642,1,HG00642_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028805.1
HG00738,1,HG00738_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028835.1
HG01099,1,HG01099_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027475.1
HG01255,1,HG01255_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042029915.1
HG01346,1,HG01346_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028795.1
HG01433,1,HG01433_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028645.1
HG01496,1,HG01496_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027595.1
HG01884,1,HG01884_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028275.1
HG01981,1,HG01981_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027505.1
HG01993,1,HG01993_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028705.1
HG02004,1,HG02004_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027455.1
HG02027,1,HG02027_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042030215.1
HG02083,1,HG02083_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042030135.1
HG02132,1,HG02132_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042030125.1
HG02280,1,HG02280_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027485.1
HG02293,1,HG02293_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027495.1
HG02300,1,HG02300_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028475.1
HG02451,1,HG02451_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027135.1
HG02523,1,HG02523_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042030115.1
HG02615,1,HG02615_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042029935.1
HG02647,1,HG02647_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028775.1
HG02698,1,HG02698_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042030045.1
HG03654,1,HG03654_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042030035.1
HG03669,1,HG03669_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042029925.1
HG03688,1,HG03688_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042030025.1
HG03704,1,HG03704_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042027445.1
HG03710,1,HG03710_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042030055.1
HG03831,1,HG03831_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042028725.1
