accession,study,bioproject_accession,biosample_accession,filename,library_ID,library_strategy,library_source,platform,instrument_model,design_description,generator_facility,generator_contact,assembly,data_type,filetype,library_layout,library_selection,shear_method,title,total_bp,coverage,ntsm_score,ntsm_result,path,total_Gbp,sample_id
SRR30613929,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-1_S15_L001_R1_001.fastq.gz,HG00423-81d-1-1_S15_L001_R1_001-1_S15_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00423,18206561943,5.87,0.568935,Similar,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L001_R1_001.fastq.gz,18.21,HG00423
SRR30613928,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-1_S15_L002_R1_001.fastq.gz,HG00423-81d-1-1_S15_L002_R1_001-1_S15_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00423,18277431102,5.9,0.587264,Similar,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L002_R1_001.fastq.gz,18.28,HG00423
SRR30613888,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-1_S15_L003_R1_001.fastq.gz,HG00423-81d-1-1_S15_L003_R1_001-1_S15_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00423,18277713152,5.9,0.518726,Similar,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L003_R1_001.fastq.gz,18.28,HG00423
SRR30613695,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-1_S15_L004_R1_001.fastq.gz,HG00423-81d-1-1_S15_L004_R1_001-1_S15_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00423,18349525689,5.92,0.567746,Similar,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L004_R1_001.fastq.gz,18.35,HG00423
SRR30613837,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-2_S16_L001_R1_001.fastq.gz,HG00423-81d-2-2_S16_L001_R1_001-2_S16_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00423,19474750712,6.28,0.57545,Similar,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L001_R1_001.fastq.gz,19.47,HG00423
SRR30613668,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-2_S16_L002_R1_001.fastq.gz,HG00423-81d-2-2_S16_L002_R1_001-2_S16_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00423,19540903591,6.3,0.567801,Similar,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L002_R1_001.fastq.gz,19.54,HG00423
SRR30613655,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-2_S16_L003_R1_001.fastq.gz,HG00423-81d-2-2_S16_L003_R1_001-2_S16_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00423,19557125825,6.31,0.543371,Similar,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L003_R1_001.fastq.gz,19.56,HG00423
SRR30613823,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-2_S16_L004_R1_001.fastq.gz,HG00423-81d-2-2_S16_L004_R1_001-2_S16_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00423,19641695401,6.34,0.550402,Similar,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L004_R1_001.fastq.gz,19.64,HG00423
SRR30613813,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-1_S1_L001_R1_001.fastq.gz,HG00544-24ab-1-1_S1_L001_R1_001-1_S1_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00544,25480247832,8.22,0.52936,Similar,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L001_R1_001.fastq.gz,25.48,HG00544
SRR30613731,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-1_S1_L002_R1_001.fastq.gz,HG00544-24ab-1-1_S1_L002_R1_001-1_S1_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00544,25348619543,8.18,0.537102,Similar,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L002_R1_001.fastq.gz,25.35,HG00544
SRR30613927,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-1_S1_L003_R1_001.fastq.gz,HG00544-24ab-1-1_S1_L003_R1_001-1_S1_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00544,25442045007,8.21,0.521718,Similar,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L003_R1_001.fastq.gz,25.44,HG00544
SRR30613916,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-1_S1_L004_R1_001.fastq.gz,HG00544-24ab-1-1_S1_L004_R1_001-1_S1_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00544,24631525119,7.95,0.482918,Similar,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L004_R1_001.fastq.gz,24.63,HG00544
SRR30613905,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-2_S2_L001_R1_001.fastq.gz,HG00544-24ab-2-2_S2_L001_R1_001-2_S2_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00544,26340905434,8.5,0.533568,Similar,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L001_R1_001.fastq.gz,26.34,HG00544
SRR30613798,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-2_S2_L002_R1_001.fastq.gz,HG00544-24ab-2-2_S2_L002_R1_001-2_S2_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00544,26223483770,8.46,0.521346,Similar,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L002_R1_001.fastq.gz,26.22,HG00544
SRR30613787,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-2_S2_L003_R1_001.fastq.gz,HG00544-24ab-2-2_S2_L003_R1_001-2_S2_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00544,26343216176,8.5,0.505937,Similar,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L003_R1_001.fastq.gz,26.34,HG00544
SRR30613715,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-2_S2_L004_R1_001.fastq.gz,HG00544-24ab-2-2_S2_L004_R1_001-2_S2_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00544,25383174741,8.19,0.500233,Similar,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L004_R1_001.fastq.gz,25.38,HG00544
SRR30613699,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-1_S9_L001_R1_001.fastq.gz,HG00609-38a-1-1_S9_L001_R1_001-1_S9_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00609,15539181423,5.01,0.52783,Similar,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L001_R1_001.fastq.gz,15.54,HG00609
SRR30613637,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-1_S9_L002_R1_001.fastq.gz,HG00609-38a-1-1_S9_L002_R1_001-1_S9_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00609,11618228831,3.75,0.577875,Similar,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L002_R1_001.fastq.gz,11.62,HG00609
SRR30613648,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-1_S9_L003_R1_001.fastq.gz,HG00609-38a-1-1_S9_L003_R1_001-1_S9_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00609,12222236915,3.94,0.550621,Similar,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L003_R1_001.fastq.gz,12.22,HG00609
SRR30613901,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-1_S9_L004_R1_001.fastq.gz,HG00609-38a-1-1_S9_L004_R1_001-1_S9_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00609,15069587773,4.86,0.539782,Similar,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L004_R1_001.fastq.gz,15.07,HG00609
SRR30613887,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-2_S10_L001_R1_001.fastq.gz,HG00609-38a-2-2_S10_L001_R1_001-2_S10_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00609,12949249772,4.18,0.575816,Similar,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L001_R1_001.fastq.gz,12.95,HG00609
SRR30613621,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-2_S10_L002_R1_001.fastq.gz,HG00609-38a-2-2_S10_L002_R1_001-2_S10_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00609,8513185331,2.75,0.611128,Similar,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L002_R1_001.fastq.gz,8.51,HG00609
SRR30613769,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-2_S10_L003_R1_001.fastq.gz,HG00609-38a-2-2_S10_L003_R1_001-2_S10_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00609,9629510218,3.11,0.621931,Similar,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L003_R1_001.fastq.gz,9.63,HG00609
SRR30613624,SRP305758,PRJNA701308,SAMN26237492,HG00609-38a-2_S10_L004_R1_001.fastq.gz,HG00609-38a-2-2_S10_L004_R1_001-2_S10_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00609,12493735034,4.03,0.577953,Similar,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L004_R1_001.fastq.gz,12.49,HG00609
SRR30613615,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-1_S9_L001_R1_001.fastq.gz,HG00642-33b-1-1_S9_L001_R1_001-1_S9_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00642,21128977021,6.82,0.484121,Similar,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L001_R1_001.fastq.gz,21.13,HG00642
SRR30613606,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-1_S9_L002_R1_001.fastq.gz,HG00642-33b-1-1_S9_L002_R1_001-1_S9_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00642,20688069145,6.67,0.512407,Similar,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L002_R1_001.fastq.gz,20.69,HG00642
SRR30613873,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-1_S9_L003_R1_001.fastq.gz,HG00642-33b-1-1_S9_L003_R1_001-1_S9_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00642,20676101807,6.67,0.478242,Similar,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L003_R1_001.fastq.gz,20.68,HG00642
SRR30613860,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-1_S9_L004_R1_001.fastq.gz,HG00642-33b-1-1_S9_L004_R1_001-1_S9_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00642,20231917492,6.53,0.463337,Similar,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L004_R1_001.fastq.gz,20.23,HG00642
SRR30613753,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-2_S10_L001_R1_001.fastq.gz,HG00642-33b-2-2_S10_L001_R1_001-2_S10_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00642,18552268209,5.98,0.488832,Similar,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L001_R1_001.fastq.gz,18.55,HG00642
SRR30613744,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-2_S10_L002_R1_001.fastq.gz,HG00642-33b-2-2_S10_L002_R1_001-2_S10_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00642,18169055248,5.86,0.500443,Similar,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L002_R1_001.fastq.gz,18.17,HG00642
SRR30613694,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-2_S10_L003_R1_001.fastq.gz,HG00642-33b-2-2_S10_L003_R1_001-2_S10_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00642,18199440590,5.87,0.494904,Similar,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L003_R1_001.fastq.gz,18.2,HG00642
SRR30613683,SRP305758,PRJNA701308,SAMN26267378,HG00642-33b-2_S10_L004_R1_001.fastq.gz,HG00642-33b-2-2_S10_L004_R1_001-2_S10_L004_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00642,17742358903,5.72,0.489863,Similar,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L004_R1_001.fastq.gz,17.74,HG00642
SRR30613836,SRP305758,PRJNA701308,SAMN26237493,HG00738-27a-1_S5_L001_R1_001.fastq.gz,HG00738-27a-1-1_S5_L001_R1_001-1_S5_L001_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00738,18367769859,5.93,0.523334,Similar,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L001_R1_001.fastq.gz,18.37,HG00738
SRR30613580,SRP305758,PRJNA701308,SAMN26237493,HG00738-27a-1_S5_L002_R1_001.fastq.gz,HG00738-27a-1-1_S5_L002_R1_001-1_S5_L002_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00738,15415024940,4.97,0.504746,Similar,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L002_R1_001.fastq.gz,15.42,HG00738
SRR30613835,SRP305758,PRJNA701308,SAMN26237493,HG00738-27a-1_S5_L003_R1_001.fastq.gz,HG00738-27a-1-1_S5_L003_R1_001-1_S5_L003_R2_001,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned,unaligned reads,fastq,paired,RANDOM,no shear,Illumina Sequencing of Omni-C Libraries of HG00738,15325726571,4.94,0.541099,Similar,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L003_R1_001.fastq.gz,15.33,HG00738
