filename,sample_ID,path,accession,study,biosample_accession,total_reads,total_bp,total_Gbp,min,max,mean,quartile_25,quartile_50,quartile_75,N25,N50,N75,library_ID,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,data_type,shear_method,size_selection,DeepConsensus_version,polymerase_version,seq_plate_chemistry_version,generator_facility,generator_contact,notes,ccs_algorithm,MM_tag
m64136_211111_194404-bc1002.5mc.hifi_reads.bam,HG00408,s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m64136_211111_194404-bc1002.5mc.hifi_reads.bam,SRR23732283,SRP305758,SAMN33621943,2002652,38355055565,38.36,81.0,58108.0,19152,16477,17924,20859,16758,18490,22251,HG00408_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64136_211114_164241-bc1002.5mc.hifi_reads.bam,HG00408,s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m64136_211114_164241-bc1002.5mc.hifi_reads.bam,SRR23732283,SRP305758,SAMN33621943,2018757,38730219265,38.73,139.0,53377.0,19185,16486,17935,20910,16770,18510,22318,HG00408_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64136_211113_063830-bc1002.5mc.hifi_reads.bam,HG00408,s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m64136_211113_063830-bc1002.5mc.hifi_reads.bam,SRR23732283,SRP305758,SAMN33621943,2008291,38660030224,38.66,124.0,59031.0,19250,16510,17982,21042,16802,18580,22446,HG00408_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211222_184851-bc1021.5mc.hifi_reads.bam,HG00597,s3://human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m64043_211222_184851-bc1021.5mc.hifi_reads.bam,SRR23732280,SRP305758,SAMN33621944,849916,13455521650,13.46,124.0,38317.0,15831,15003,15777,16605,15074,15865,16687,HG00597_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211213_155654-bc1021.5mc.hifi_reads.bam,HG00597,s3://human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m64043_211213_155654-bc1021.5mc.hifi_reads.bam,SRR23732280,SRP305758,SAMN33621944,1557646,32720246548,32.72,61.0,54955.0,21006,19041,20445,22411,19247,20774,22899,HG00597_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211212_045901-bc1021.5mc.hifi_reads.bam,HG00597,s3://human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m64043_211212_045901-bc1021.5mc.hifi_reads.bam,SRR23732280,SRP305758,SAMN33621944,1586624,33361982455,33.36,62.0,54098.0,21027,19052,20458,22436,19260,20789,22926,HG00597_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211210_180342-bc1021.5mc.hifi_reads.bam,HG00597,s3://human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m64043_211210_180342-bc1021.5mc.hifi_reads.bam,SRR23732280,SRP305758,SAMN33621944,1621355,34138087985,34.14,406.0,56238.0,21055,19061,20477,22470,19270,20815,22972,HG00597_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211127_171224.5mc.hifi_reads.bam,HG01192,s3://human-pangenomics/working/HPRC/HG01192/raw_data/PacBio_HiFi/m64043_211127_171224.5mc.hifi_reads.bam,SRR23732279,SRP305758,SAMN33621945,1743655,35850177288,35.85,82.0,52726.0,20560,18058,19858,22404,18438,20412,23274,HG01192_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211124_192057.5mc.hifi_reads.bam,HG01192,s3://human-pangenomics/working/HPRC/HG01192/raw_data/PacBio_HiFi/m64043_211124_192057.5mc.hifi_reads.bam,SRR23732279,SRP305758,SAMN33621945,1762460,36240709779,36.24,203.0,52946.0,20562,18064,19864,22408,18441,20419,23268,HG01192_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211126_061537.5mc.hifi_reads.bam,HG01192,s3://human-pangenomics/working/HPRC/HG01192/raw_data/PacBio_HiFi/m64043_211126_061537.5mc.hifi_reads.bam,SRR23732279,SRP305758,SAMN33621945,1830528,37677927562,37.68,153.0,53478.0,20583,18074,19879,22435,18452,20438,23304,HG01192_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64136_211105_181124-bc1001.5mc.hifi_reads.bam,HG01261,s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64136_211105_181124-bc1001.5mc.hifi_reads.bam,SRR23732278,SRP305758,SAMN33621946,1438147,30182743796,30.18,986.0,58704.0,20987,18104,19655,22562,18395,20237,24263,HG01261_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
m64043_211222_184851-bc1001.5mc.hifi_reads.bam,HG01261,s3://human-pangenomics/working/HPRC/HG01261/raw_data/PacBio_HiFi/m64043_211222_184851-bc1001.5mc.hifi_reads.bam,SRR23732278,SRP305758,SAMN33621946,664050,13944839852,13.94,718.0,67189.0,20999,18072,19630,22593,18369,20229,24356,HG01261_lib1,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA,unaligned reads,Megaruptor 1,SageELF,,P2.2,C2,Washington University,tgraves@wustl.edu,,6.0.0,True
