sample_ID,filetype,filename,path,data_type,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,DeepConsensus_version,study,title,accession,bioproject_accession,biosample_accession,design_description,notes,generator_contact,generator_facility,library_ID,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,total_reads,total_bp,total_Gbp,mean,min,max,N25,N50,N75,quartile_25,quartile_50,quartile_75,ntsm_score,MM_tag,primrose_filename,check,delta,sample_id,working_path,output_name,upload_path
HG01074,bam,m54329U_211208_005551-bc1008.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01074/raw_data/PacBio_HiFi/m54329U_211208_005551-bc1008.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,11.3,12.97,HG01074.m54329U_211208_005551.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01074/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01074.m54329U_211208_005551.dc.q20.fastq.gz,6.2.0,,SRP305758,,SRR23922645,PRJNA701308,SAMN33758782,HiFi sequencing of 23kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG01074.HFSS2,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2.2,1833869,34933587178,34.93,19049,200.0,53902.0,16436,19215,22858,15785,18197,21525,,True,,True,33,HG01074-m54329U_211208_005551-bc1008.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01074/raw_data/PacBio_HiFi/m54329U_211208_005551-bc1008.5mc.hifi_reads.bam,m54329U_211208_005551-bc1008.fixed_kinetics.hifi_reads.bam,/private/groups/hprc/human-pangenomics/r2-limma-patch/trim_hifi_barcode_kinetics/HG01074-m54329U_211208_005551-bc1008.5mc.hifi_reads.bam/analysis/trim_hifi_kinetics_outputs/b4e55341-686e-4e03-ab13-01da6d716a9d/m54329U_211208_005551-bc1008.fixed_kinetics.hifi_reads.bam
HG02451,bam,m64076_211208_005550-bc1003.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02451/raw_data/PacBio_HiFi/m64076_211208_005550-bc1003.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,12.4,13.86,HG02451.m64076_211208_005550.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02451/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02451.m64076_211208_005550.dc.q20.fastq.gz,6.2.0,,SRP305758,,SRR23922667,PRJNA701308,SAMN33758786,HiFi sequencing of 21kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG02451.HFSS2,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2.2,2222540,38494025289,38.49,17319,424.0,50248.0,15174,17364,20294,14736,16646,19353,,True,,True,34,HG02451-m64076_211208_005550-bc1003.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02451/raw_data/PacBio_HiFi/m64076_211208_005550-bc1003.5mc.hifi_reads.bam,m64076_211208_005550-bc1003.fixed_kinetics.hifi_reads.bam,/private/groups/hprc/human-pangenomics/r2-limma-patch/trim_hifi_barcode_kinetics/HG02451-m64076_211208_005550-bc1003.5mc.hifi_reads.bam/analysis/trim_hifi_kinetics_outputs/df389dfd-cbc4-43e3-8a93-078aafe5014e/m64076_211208_005550-bc1003.fixed_kinetics.hifi_reads.bam
HG03017,bam,m54329U_211225_070909-bc1012.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03017/raw_data/PacBio_HiFi/m54329U_211225_070909-bc1012.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,11.0,13.35,HG03017.m54329U_211225_070909.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG03017/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03017.m54329U_211225_070909.dc.q20.fastq.gz,6.2.0,,SRP305758,,SRR23922662,PRJNA701308,SAMN33758789,HiFi sequencing of 25kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG03017.HFSS,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2.2,1745970,34046953548,34.05,19500,61.0,64185.0,16617,20225,24689,15437,18613,22719,,True,,True,34,HG03017-m54329U_211225_070909-bc1012.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03017/raw_data/PacBio_HiFi/m54329U_211225_070909-bc1012.5mc.hifi_reads.bam,m54329U_211225_070909-bc1012.fixed_kinetics.hifi_reads.bam,/private/groups/hprc/human-pangenomics/r2-limma-patch/trim_hifi_barcode_kinetics/HG03017-m54329U_211225_070909-bc1012.5mc.hifi_reads.bam/analysis/trim_hifi_kinetics_outputs/9877e7c4-3645-4ad7-8cad-e29e065e0e84/m54329U_211225_070909-bc1012.fixed_kinetics.hifi_reads.bam
HG03704,bam,m54329U_211105_213234-bc1001.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03704/raw_data/PacBio_HiFi/m54329U_211105_213234-bc1001.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,8.1,9.12,HG03704.m54329U_211105_213234.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG03704/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03704.m54329U_211105_213234.dc.q20.fastq.gz,6.2.0,,SRP305758,,SRR23922655,PRJNA701308,SAMN33758795,HiFi sequencing of 26kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG03704_SRE.HFSS,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2.2,1212386,25139477214,25.14,20735,493.0,61181.0,17908,20760,24604,17290,19755,23225,,True,,True,34,HG03704-m54329U_211105_213234-bc1001.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03704/raw_data/PacBio_HiFi/m54329U_211105_213234-bc1001.5mc.hifi_reads.bam,m54329U_211105_213234-bc1001.fixed_kinetics.hifi_reads.bam,/private/groups/hprc/human-pangenomics/r2-limma-patch/trim_hifi_barcode_kinetics/HG03704-m54329U_211105_213234-bc1001.5mc.hifi_reads.bam/analysis/trim_hifi_kinetics_outputs/66324dd8-6214-4c97-928b-6d4474225d04/m54329U_211105_213234-bc1001.fixed_kinetics.hifi_reads.bam
HG03704,bam,m54329U_220203_054640-bc1001.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03704/raw_data/PacBio_HiFi/m54329U_220203_054640-bc1001.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,5.0,6.25,HG03704.m54329U_220203_054640.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG03704/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03704.m54329U_220203_054640.dc.q20.fastq.gz,6.2.0,,SRP305758,,SRR23922654,PRJNA701308,SAMN33758795,HiFi sequencing of 25kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG03704.HFSS3,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2.2,783402,15515677051,15.52,19805,77.0,64236.0,16931,20064,24078,16127,18857,22528,,True,,True,34,HG03704-m54329U_220203_054640-bc1001.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03704/raw_data/PacBio_HiFi/m54329U_220203_054640-bc1001.5mc.hifi_reads.bam,m54329U_220203_054640-bc1001.fixed_kinetics.hifi_reads.bam,/private/groups/hprc/human-pangenomics/r2-limma-patch/trim_hifi_barcode_kinetics/HG03704-m54329U_220203_054640-bc1001.5mc.hifi_reads.bam/analysis/trim_hifi_kinetics_outputs/9d1d2414-5f51-439b-aa5f-391124773b13/m54329U_220203_054640-bc1001.fixed_kinetics.hifi_reads.bam
HG03704,bam,m54329U_220203_054640-bc1018.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03704/raw_data/PacBio_HiFi/m54329U_220203_054640-bc1018.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,1.6,6.25,HG03704.m54329U_220203_054640.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG03704/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03704.m54329U_220203_054640.dc.q20.fastq.gz,6.2.0,,SRP305758,,SRR23922653,PRJNA701308,SAMN33758795,HiFi sequencing of 24kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG03704.HFSS4,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2.2,249779,4818202256,4.82,19289,61.0,48616.0,16754,19296,22712,16218,18426,21504,,True,,True,33,HG03704-m54329U_220203_054640-bc1018.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03704/raw_data/PacBio_HiFi/m54329U_220203_054640-bc1018.5mc.hifi_reads.bam,m54329U_220203_054640-bc1018.fixed_kinetics.hifi_reads.bam,/private/groups/hprc/human-pangenomics/r2-limma-patch/trim_hifi_barcode_kinetics/HG03704-m54329U_220203_054640-bc1018.5mc.hifi_reads.bam/analysis/trim_hifi_kinetics_outputs/4c7c54df-085c-42b3-a1c4-d93aee80755b/m54329U_220203_054640-bc1018.fixed_kinetics.hifi_reads.bam
HG01074,bam,m54329U_211211_014820-bc1008.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01074/raw_data/PacBio_HiFi/m54329U_211211_014820-bc1008.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,12.1,13.56,HG01074.m54329U_211211_014820.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01074/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01074.m54329U_211211_014820.dc.q20.fastq.gz,6.2.0,,SRP305758,,SRR23922645,PRJNA701308,SAMN33758782,HiFi sequencing of 23kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG01074.HFSS2,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2.2,1959425,37481785263,37.48,19128,139.0,61840.0,16493,19304,22988,15826,18266,21628,,True,,True,34,HG01074-m54329U_211211_014820-bc1008.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG01074/raw_data/PacBio_HiFi/m54329U_211211_014820-bc1008.5mc.hifi_reads.bam,m54329U_211211_014820-bc1008.fixed_kinetics.hifi_reads.bam,/private/groups/hprc/human-pangenomics/r2-limma-patch/trim_hifi_barcode_kinetics/HG01074-m54329U_211211_014820-bc1008.5mc.hifi_reads.bam/analysis/trim_hifi_kinetics_outputs/c00d0a2a-3f12-4f7e-b004-7539d4013c41/m54329U_211211_014820-bc1008.fixed_kinetics.hifi_reads.bam
HG02451,bam,m64076_211211_014755-bc1003.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02451/raw_data/PacBio_HiFi/m64076_211211_014755-bc1003.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,13.1,14.44,HG02451.m64076_211211_014755.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02451/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02451.m64076_211211_014755.dc.q20.fastq.gz,6.2.0,,SRP305758,,SRR23922667,PRJNA701308,SAMN33758786,HiFi sequencing of 21kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG02451.HFSS2,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2.2,2328484,40519515849,40.52,17401,199.0,51805.0,15239,17471,20411,14790,16739,19472,,True,,True,33,HG02451-m64076_211211_014755-bc1003.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02451/raw_data/PacBio_HiFi/m64076_211211_014755-bc1003.5mc.hifi_reads.bam,m64076_211211_014755-bc1003.fixed_kinetics.hifi_reads.bam,/private/groups/hprc/human-pangenomics/r2-limma-patch/trim_hifi_barcode_kinetics/HG02451-m64076_211211_014755-bc1003.5mc.hifi_reads.bam/analysis/trim_hifi_kinetics_outputs/4a8b849a-67ad-4af2-bdc3-108b7b9aa106/m64076_211211_014755-bc1003.fixed_kinetics.hifi_reads.bam
HG02735,bam,m54329U_211209_115915-bc1002.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02735/raw_data/PacBio_HiFi/m54329U_211209_115915-bc1002.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,10.5,11.59,HG02735.m54329U_211209_115915.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG02735/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02735.m54329U_211209_115915.dc.q20.fastq.gz,6.2.0,,SRP305758,,SRR23922665,PRJNA701308,SAMN33758787,HiFi sequencing of 25kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG02735.HFSS2,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2.2,1654923,32462661287,32.46,19615,53.0,62313.0,17011,19773,23407,16371,18792,22115,,True,,True,18,HG02735-m54329U_211209_115915-bc1002.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG02735/raw_data/PacBio_HiFi/m54329U_211209_115915-bc1002.5mc.hifi_reads.bam,m54329U_211209_115915-bc1002.fixed_kinetics.hifi_reads.bam,/private/groups/hprc/human-pangenomics/r2-limma-patch/trim_hifi_barcode_kinetics/HG02735-m54329U_211209_115915-bc1002.5mc.hifi_reads.bam/analysis/trim_hifi_kinetics_outputs/398565d6-f52d-476c-9d23-abd61b2ef571/m54329U_211209_115915-bc1002.fixed_kinetics.hifi_reads.bam
HG03704,bam,m54329U_211111_222027-bc1001.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03704/raw_data/PacBio_HiFi/m54329U_211111_222027-bc1001.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,6.7,7.76,HG03704.m54329U_211111_222027.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG03704/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03704.m54329U_211111_222027.dc.q20.fastq.gz,6.2.0,,SRP305758,,SRR23922655,PRJNA701308,SAMN33758795,HiFi sequencing of 26kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG03704_SRE.HFSS,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P2.2,1009358,20852506753,20.85,20659,727.0,67087.0,17853,20671,24461,17248,19681,23109,,True,,True,33,HG03704-m54329U_211111_222027-bc1001.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03704/raw_data/PacBio_HiFi/m54329U_211111_222027-bc1001.5mc.hifi_reads.bam,m54329U_211111_222027-bc1001.fixed_kinetics.hifi_reads.bam,/private/groups/hprc/human-pangenomics/r2-limma-patch/trim_hifi_barcode_kinetics/HG03704-m54329U_211111_222027-bc1001.5mc.hifi_reads.bam/analysis/trim_hifi_kinetics_outputs/42b2ac7b-1c24-4caa-b792-03a66fbb3e25/m54329U_211111_222027-bc1001.fixed_kinetics.hifi_reads.bam
