sample_id,filetype,filename,path,data_type,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,basecaller,basecaller_version,study,accession,bioproject_accession,biosample_accession,design_description,notes,generator_contact,generator_facility,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,total_reads,total_bp,total_gbp,mean,min,max,n25,n50,n75,quartile_25,quartile_50,quartile_75,ntsm_score,mm_tag,primrose_filename,mm_review,mm_remove,lima_version,lima_float_version
HG00097,bam,m84046_230718_223822_s1.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,26.4,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483084,PRJNA701308,SAMN41021660,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00097.HFSS_m84046_230718_223822_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,4013688,81988073357,81.99,20427,131,58103,18134,20372,23618,17693,19676,22592,0.539019,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00097,bam,m84046_230716_054822_s4.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2086.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483083,PRJNA701308,SAMN41021660,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00097.HFSS_m84046_230716_054822_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2892254,59475971630,59.48,20563,135,53858,18220,20531,23848,17766,19800,22810,0.533559,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00097,bam,m84046_230716_051716_s3.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2086.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18.1,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483082,PRJNA701308,SAMN41021660,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00097.HFSS_m84046_230716_051716_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2730343,56111550391,56.11,20551,77,60165,18218,20516,23811,17766,19795,22777,0.547261,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00099,bam,m54329U_220829_095708-bc2050.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m54329U_220829_095708-bc2050.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,16.4,18.56,HG00099.m54329U_220829_095708.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220829_095708.dc.q20.fastq.gz,6.3.0,ccs,6.3.0,SRP305758,SRR23922669,PRJNA701308,SAMN33758778,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00099_2.HFSS,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P3.2,2531476,50762698477,50.76,20052,138,59908,17765,20098,23193,17309,19387,22273,,TRUE,,TRUE,FALSE,2.5.1,2.0501
HG00099,bam,m54329U_220827_143814-bc2050.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m54329U_220827_143814-bc2050.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,14.7,17.07,HG00099.m54329U_220827_143814.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220827_143814.dc.q20.fastq.gz,6.3.0,ccs,6.3.0,SRP305758,SRR23922669,PRJNA701308,SAMN33758778,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00099_2.HFSS,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P3.2,2276772,45528316868,45.53,19996,52,54052,17720,20026,23102,17274,19325,22189,,TRUE,,TRUE,FALSE,2.5.1,2.0501
HG00099,bam,m54329U_220825_174247-bc2012.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m54329U_220825_174247-bc2012.5mc.hifi_reads.bam,unaligned reads,UW_HPRC_HiFi_Y3,15.4,18.1,HG00099.m54329U_220825_174247.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220825_174247.dc.q20.fastq.gz,6.3.0,ccs,6.3.0,SRP305758,SRR23922670,PRJNA701308,SAMN33758778,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00099_1.HFSS,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P3.2,2287312,47677590021,47.68,20844,87,64390,18329,20991,24424,17755,20124,23333,,TRUE,,TRUE,FALSE,2.5.1,2.0501
HG00099,bam,m84046_230517_211630_s4.hifi_reads.bc2012.bam,s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m84046_230517_211630_s4.hifi_reads.bc2012.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19.8,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483176,PRJNA701308,SAMN33758778,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00099_1.HFSS_m84046_230517_211630_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2977212,61484744616,61.48,20651,331,54368,18153,20772,24191,17597,19914,23094,0.521581,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00126,bam,m84046_230621_234848_s2.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2043.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483145,PRJNA701308,SAMN41021637,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00126.HFSS_m84046_230621_234848_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2781508,59614431287,59.61,21432,87,61977,19090,21277,24496,18681,20624,23493,0.497169,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00126,bam,m84046_230621_231827_s1.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2043.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,17.9,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483149,PRJNA701308,SAMN41021637,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00126.HFSS_m84046_230621_231827_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2592602,55422349206,55.42,21377,101,61779,19066,21223,24390,18665,20584,23411,0.550802,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00126,bam,m84046_230617_050400_s4.hifi_reads.bc2043.bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2043.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,8.7,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483148,PRJNA701308,SAMN41021637,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00126.HFSS_m84046_230617_050400_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1265571,27014561078,27.01,21345,441,66961,19050,21192,24330,18650,20561,23358,0.578292,TRUE,,TRUE,FALSE,2.7.1,2.0701
