DeepConsensus_version,MM_tag,N25,N50,N75,accession,bioproject_accession,biosample_accession,ccs_algorithm,coverage,data_type,design_description,filename,filetype,generator_contact,generator_facility,instrument_model,library_ID,library_layout,library_selection,library_source,library_strategy,max,mean,min,notes,ntsm_score,path,platform,polymerase_version,production,quartile_25,quartile_50,quartile_75,sample_ID,seq_plate_chemistry_version,shear_method,size_selection,study,title,total_Gbp,total_bp,total_reads,deepconsensus_file,deepconsensus_path,deepconsensus_coverage
,True,18360,20178,22789,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230628_194051_s3.hifi_reads.bc1018.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00140_lib1,single,size fractionation,GENOMIC,WGS,58382.0,20421,307.0,,0.599508,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m84081_230628_194051_s3.hifi_reads.bc1018.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18021,19687,21981,HG00140,Revio C1,Megaruptor 1,SageELF,,,29.74,29738949475,1456225,,,
,True,18409,20255,22952,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230628_201157_s4.hifi_reads.bc1018.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00140_lib1,single,size fractionation,GENOMIC,WGS,64079.0,20523,216.0,,0.589587,s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m84081_230628_201157_s4.hifi_reads.bc1018.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,18060,19748,22092,HG00140,Revio C1,Megaruptor 1,SageELF,,,31.58,31578187956,1538629,,,
,True,16432,18725,21786,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230623_212309_s3.hifi_reads.bc1016.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00323_lib1,single,size fractionation,GENOMIC,WGS,50192.0,18724,258.0,,0.656642,s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230623_212309_s3.hifi_reads.bc1016.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16026,17954,20895,HG00323,Revio C1,Megaruptor 1,SageELF,,,10.0,9997409444,533910,,,
,True,16484,18833,21920,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230623_215414_s4.hifi_reads.bc1016.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00323_lib1,single,size fractionation,GENOMIC,WGS,51303.0,18811,135.0,,0.681963,s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230623_215414_s4.hifi_reads.bc1016.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16067,18045,21023,HG00323,Revio C1,Megaruptor 1,SageELF,,,9.86,9863259338,524309,,,
,True,16519,18908,22016,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230624_203119_s1.hifi_reads.bc1016.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00323_lib1,single,size fractionation,GENOMIC,WGS,53584.0,18869,230.0,,0.650287,s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_203119_s1.hifi_reads.bc1016.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16089,18099,21111,HG00323,Revio C1,Megaruptor 1,SageELF,,,9.27,9265701969,491044,,,
,True,16494,18861,21973,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230624_210225_s2.hifi_reads.bc1016.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00323_lib1,single,size fractionation,GENOMIC,WGS,52752.0,18835,228.0,,0.690611,s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_210225_s2.hifi_reads.bc1016.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16074,18059,21066,HG00323,Revio C1,Megaruptor 1,SageELF,,,9.87,9868682219,523950,,,
,True,16491,18872,21990,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230624_213331_s3.hifi_reads.bc1016.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00323_lib1,single,size fractionation,GENOMIC,WGS,58203.0,18841,208.0,,0.635922,s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_213331_s3.hifi_reads.bc1016.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16069,18060,21073,HG00323,Revio C1,Megaruptor 1,SageELF,,,14.44,14435835846,766159,,,
,True,16525,18931,22049,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230624_220437_s4.hifi_reads.bc1016.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00323_lib1,single,size fractionation,GENOMIC,WGS,51131.0,18886,70.0,,0.670761,s3://human-pangenomics/working/HPRC/HG00323/raw_data/PacBio_HiFi/m84081_230624_220437_s4.hifi_reads.bc1016.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16092,18114,21133,HG00323,Revio C1,Megaruptor 1,SageELF,,,13.18,13179281613,697824,,,
,True,16550,18032,21082,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_175633_s1.hifi_reads.bc1002.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00408_lib1,single,size fractionation,GENOMIC,WGS,50555.0,18647,238.0,,0.567409,s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m84081_230721_175633_s1.hifi_reads.bc1002.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16320,17609,19846,HG00408,Revio C1,Megaruptor 1,SageELF,,,30.38,30381631440,1629303,,,
,True,16568,18055,21133,,,,7.0.0,,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84081_230721_182654_s2.hifi_reads.bc1002.bam,bam,tgraves@wustl.edu,Washington University,PacBio Revio,HG00408_lib1,single,size fractionation,GENOMIC,WGS,53262.0,18671,98.0,,0.60754,s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m84081_230721_182654_s2.hifi_reads.bc1002.bam,PACBIO_SMRT,Revio P1,WUSTL_HPRC_HiFi_Year3_TopUp,16336,17629,19901,HG00408,Revio C1,Megaruptor 1,SageELF,,,31.53,31532317955,1688822,,,
