sample_id,filename,filetype,path,coverage,total_bp,total_gbp,library_strategy,library_layout,library_construction_protocol,platform,instrument_model,read_length,family_id,paternal_id,maternal_id,gender,phenotype,relationship,siblings,second_order,third_order,other_comments,phasing
HG00097,HG00097.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00097/raw_data/Illumina/child/HG00097.final.cram,36.84,114209267700,114.21,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00097,0,0,2.0,0.0,unrel,0,0,0,0,hic
HG00126,HG00126.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00126/raw_data/Illumina/child/HG00126.final.cram,45.04,139636375200,139.64,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00126,0,0,1.0,0.0,unrel,0,0,0,0,hic
HG00128,HG00128.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00128/raw_data/Illumina/child/HG00128.final.cram,47.57,147460895100,147.46,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00128,0,0,2.0,0.0,unrel,0,0,0,0,hic
HG00133,HG00133.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00133/raw_data/Illumina/child/HG00133.final.cram,54.96,170378106600,170.38,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00133,0,0,2.0,0.0,unrel,0,0,0,0,hic
HG00146,HG00146.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00146/raw_data/Illumina/child/HG00146.final.cram,47.45,147092152200,147.09,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,GBR002,0,0,2.0,0.0,child,HG00147,0,0,0,hic
HG00232,HG00232.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00232/raw_data/Illumina/child/HG00232.final.cram,61.31,190075365300,190.08,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00232,0,0,2.0,0.0,unrel,0,0,0,0,hic
HG00235,HG00235.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00235/raw_data/Illumina/child/HG00235.final.cram,41.08,127356309000,127.36,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00235,0,0,2.0,0.0,unrel,0,0,0,0,hic
HG00253,HG00253.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00253/raw_data/Illumina/child/HG00253.final.cram,39.75,123229621800,123.23,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00253,0,0,2.0,0.0,unrel,0,0,0,0,hic
HG00272,HG00272.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00272/raw_data/Illumina/child/HG00272.final.cram,49.34,152952429900,152.95,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00272,0,0,2.0,0.0,unrel,0,0,0,0,hic
HG00290,HG00290.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00290/raw_data/Illumina/child/HG00290.final.cram,48.42,150108838800,150.11,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00290,0,0,1.0,0.0,unrel,0,0,0,0,hic
HG00320,HG00320.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00320/raw_data/Illumina/child/HG00320.final.cram,42.72,132430362000,132.43,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00320,0,0,2.0,0.0,unrel,0,0,0,0,hic
HG00321,HG00321.final.cram,cram,s3://human-pangenomics/working/HPRC/HG00321/raw_data/Illumina/child/HG00321.final.cram,60.18,186546837600,186.55,WGS,PAIRED,TruSeq DNA PCR-free,ILLUMINA,Illumina NovaSeq 6000,150,HG00321,0,0,1.0,0.0,unrel,0,0,0,0,hic
