path,sample_id,total_reads,filename,title,study,bioproject_accession,accession,biosample_accession,library_id,data_type,filetype,cell_type,generator_facility,production,iso_filename,platform_unit_1,platform_unit_2,barcode,basecalling_version,platform,instrument_model,iso_library_id,ccs_algorithm,pbtrim_version,jasmine_version,lima_version,refine_version,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,design_description,polymerase_version,seq_plate_chemistry_version,pool,ntsm_score,similarity,check-flnc reads,generator_contact
s3://human-pangenomics/working/HPRC/HG00423/raw_data/PacBio_Kinnex/HG00423.lymph.m84046_240713_051553_s2.flnc.bam,HG00423,5805662,HG00423.lymph.m84046_240713_051553_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00423.lymph.m84046_240713_051553_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-1.bam,m84046_240713_051553_s2,NA,bc01,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.183349,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG00423/raw_data/PacBio_Kinnex/HG00423.lymph.m84046_240722_012946_s4.flnc.bam,HG00423,6354937,HG00423.lymph.m84046_240722_012946_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00423.lymph.m84046_240722_012946_s4,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-1.bam,m84046_240722_012946_s4,NA,bc01,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.177367,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG00438/raw_data/PacBio_Kinnex/HG00438.lymph.m84046_240713_091428_s4.flnc.bam,HG00438,6425109,HG00438.lymph.m84046_240713_091428_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00438.lymph.m84046_240713_091428_s4,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-2.bam,m84046_240713_091428_s4,NA,bc06,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.161663,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG00438/raw_data/PacBio_Kinnex/HG00438.lymph.m84046_240717_125059_s3.flnc.bam,HG00438,7908024,HG00438.lymph.m84046_240717_125059_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00438.lymph.m84046_240717_125059_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-2.bam,m84046_240717_125059_s3,NA,bc06,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.157445,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_Kinnex/HG00621.lymph.m84046_240713_091428_s4.flnc.bam,HG00621,7005843,HG00621.lymph.m84046_240713_091428_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00621.lymph.m84046_240713_091428_s4,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-1.bam,m84046_240713_091428_s4,NA,bc05,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.172991,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_Kinnex/HG00621.lymph.m84046_240717_125059_s3.flnc.bam,HG00621,8612869,HG00621.lymph.m84046_240717_125059_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00621.lymph.m84046_240717_125059_s3,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-1.bam,m84046_240717_125059_s3,NA,bc05,5,PACBIO,REVIO,HPRC_Pool003.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool003.KN,0.170832,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG00673/raw_data/PacBio_Kinnex/HG00673.lymph.m84046_240713_051553_s2.flnc.bam,HG00673,4903874,HG00673.lymph.m84046_240713_051553_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00673.lymph.m84046_240713_051553_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-8.bam,m84046_240713_051553_s2,NA,bc08,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.196727,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG00673/raw_data/PacBio_Kinnex/HG00673.lymph.m84046_240722_012946_s4.flnc.bam,HG00673,5379202,HG00673.lymph.m84046_240722_012946_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00673.lymph.m84046_240722_012946_s4,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-8.bam,m84046_240722_012946_s4,NA,bc08,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.197161,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG00735/raw_data/PacBio_Kinnex/HG00735.lymph.m84046_240713_051553_s2.flnc.bam,HG00735,5819419,HG00735.lymph.m84046_240713_051553_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00735.lymph.m84046_240713_051553_s2,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-3.bam,m84046_240713_051553_s2,NA,bc03,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.205716,1,TRUE,iviolich@ucsc.edu
s3://human-pangenomics/working/HPRC/HG00735/raw_data/PacBio_Kinnex/HG00735.lymph.m84046_240722_012946_s4.flnc.bam,HG00735,6379171,HG00735.lymph.m84046_240722_012946_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00735.lymph.m84046_240722_012946_s4,bam,unaligned reads,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-3.bam,m84046_240722_012946_s4,NA,bc03,5,PACBIO,REVIO,HPRC_Pool001.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool001.KN,0.200453,1,TRUE,iviolich@ucsc.edu
