sample_id,population_abbreviation,project,coverage_hifi,deepconsensus_coverage_hifi,coverage_mm_hifi,production,n50_hifi,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,coverage_100kb_R1041,coverage_100kb_R941,sequencing_chemistry_ont,read_N50_ont,meth_wg_cov
CHM13,,extramural,,,,,,,,,,,,,,,
GRCh38,,extramural,,,,,,,,,,,,,,,
HG00097,GBR,HPRC,63.70,0.00,63.70,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,20460.84,174.78,36.84,12420586.00,57.09,25.34,25.34,0.00,R1041,89210.35,63.70
HG00099,GBR,HPRC,73.53,53.73,66.30,UW_HPRC_HiFi_Y3,20482.60,56.46,41.50,19956012.00,58.78,20.75,0.00,20.75,R941,72139.93,66.30
HG00126,GBR,HPRC,63.80,0.00,63.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,21297.22,70.34,45.04,16747362.00,70.94,38.34,38.34,0.00,R1041,107245.82,63.80
HG00128,GBR,HPRC,66.30,0.00,66.30,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18095.40,44.66,47.57,13721123.00,59.52,27.52,27.52,0.00,R1041,92413.37,66.30
HG00133,GBR,HPRC,66.00,0.00,66.00,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,23729.57,46.86,54.96,16117026.00,65.96,35.02,35.02,0.00,R1041,105700.81,66.00
HG00140,GBR,HPRC,60.64,40.84,55.40,WUSTL_HPRC_HiFi_Year3,21091.07,125.94,36.68,21434086.00,72.87,29.76,0.00,29.76,R941,84169.80,55.40
HG00146,GBR,HPRC,72.60,0.00,72.60,WUSTL_HPRC_HiFi_Year4,20251.59,66.24,47.45,18071802.00,75.99,38.56,38.56,0.00,R1041,105545.44,72.60
HG002,,extramural,78.78,78.78,0.00,HPRC_PLUS_GIAB,15418.95,289.23,34.66,,85.93,32.15,0.00,32.15,R941,80841.11,189.70
HG00232,GBR,HPRC,62.30,0.00,62.30,WUSTL_HPRC_HiFi_Year4,18912.55,57.06,61.31,20080345.00,92.00,23.97,23.97,0.00,R1041,63159.57,62.30
HG00235,GBR,HPRC,61.60,0.00,61.60,RU_Y4,20682.46,78.86,41.08,14280975.00,91.04,36.62,36.62,0.00,R1041,82986.32,61.60
HG00253,GBR,HPRC,64.90,0.00,64.90,RU_Y4,20564.24,64.34,39.75,12525697.00,79.40,32.86,32.86,0.00,R1041,84792.55,64.90
HG00272,FIN,HPRC,67.80,0.00,67.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,22229.64,130.02,49.34,14296173.00,62.31,23.76,23.76,0.00,R1041,79173.75,67.80
HG00280,FIN,HPRC,66.80,48.90,59.30,UW_HPRC_HiFi_Y3,20096.60,107.00,39.93,17784599.00,59.84,20.40,0.00,20.40,R941,70009.22,59.30
HG00290,FIN,HPRC,63.30,0.00,63.30,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,23415.07,54.70,48.42,18955455.00,94.26,35.56,35.56,0.00,R1041,77915.32,63.30
HG00320,FIN,HPRC,68.30,0.00,68.30,WUSTL_HPRC_HiFi_Year4,19354.14,75.32,42.72,15670854.00,77.44,31.63,31.63,0.00,R1041,84108.38,68.30
HG00321,FIN,HPRC,61.20,0.00,61.20,WUSTL_HPRC_HiFi_Year4,19780.72,79.18,60.18,20295363.00,76.88,26.01,26.01,0.00,R1041,73728.79,61.20
HG00323,FIN,HPRC,62.75,41.15,56.70,WUSTL_HPRC_HiFi_Year3,19236.45,58.56,33.27,12099649.00,60.85,22.39,0.00,22.39,R941,79565.97,56.70
HG00329,FIN,HPRC,62.10,0.00,62.10,RU_Y4,23468.88,123.48,38.56,14699357.00,90.65,26.39,26.39,0.00,R1041,63761.62,62.10
HG00344,FIN,HPRC,65.30,0.00,65.30,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19341.06,57.50,37.28,15691882.00,50.77,24.60,24.60,0.00,R1041,97201.95,65.30
