biosample_accession	sample_name	haplotype	bioproject_accession	bioproject_description	umbrella_bp	filename	assembly_date	assembly_name	assembly_method	assembly_method_version	genome_coverage	sequencing_technology	reference_genome	update_for
SAMN33758789	HG03017	paternal		Assembly of HG03017 paternal haplotype.		HG03017.hap1_for_genbank.fa.gz	2024-09	HG03017_pat_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN37706906	HG02668	paternal		Assembly of HG02668 paternal haplotype.		HG02668.hap1_for_genbank.fa.gz	2024-09	HG02668_pat_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN26237498	HG01934	paternal		Assembly of HG01934 paternal haplotype.		HG01934.hap1_for_genbank.fa.gz	2024-09	HG01934_pat_hprc_f2	Hifiasm	0.19.9	78X	"PacBio, Oxford Nanopore"		
SAMN37797098	HG01252	paternal		Assembly of HG01252 paternal haplotype.		HG01252.hap1_for_genbank.fa.gz	2024-09	HG01252_pat_hprc_f2	Hifiasm	0.19.9	58X	"PacBio, Oxford Nanopore"		
SAMN33758782	HG01074	paternal		Assembly of HG01074 paternal haplotype.		HG01074.hap1_for_genbank.fa.gz	2024-09	HG01074_pat_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN37797096	HG00658	paternal		Assembly of HG00658 paternal haplotype.		HG00658.hap1_for_genbank.fa.gz	2024-09	HG00658_pat_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN33758794	HG03239	paternal		Assembly of HG03239 paternal haplotype.		HG03239.hap1_for_genbank.fa.gz	2024-09	HG03239_pat_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN33758790	HG03041	paternal		Assembly of HG03041 paternal haplotype.		HG03041.hap1_for_genbank.fa.gz	2024-09	HG03041_pat_hprc_f2	Hifiasm	0.19.9	59X	"PacBio, Oxford Nanopore"		
SAMN37797103	HG01969	paternal		Assembly of HG01969 paternal haplotype.		HG01969.hap1_for_genbank.fa.gz	2024-09	HG01969_pat_hprc_f2	Hifiasm	0.19.9	59X	"PacBio, Oxford Nanopore"		
SAMN37797102	HG01960	paternal		Assembly of HG01960 paternal haplotype.		HG01960.hap1_for_genbank.fa.gz	2024-09	HG01960_pat_hprc_f2	Hifiasm	0.19.9	57X	"PacBio, Oxford Nanopore"		
SAMN37797101	HG01940	paternal		Assembly of HG01940 paternal haplotype.		HG01940.hap1_for_genbank.fa.gz	2024-09	HG01940_pat_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
