,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX,chrY
NA20799-hap1,,,,S,,,,,,,S,,,,,,S,,,,,,,
NA20799-hap2,,,,,,,,,S,,,,,,,,,,S,,,,,
NA19468-hap1,,,,,,,,,,,,,,,,,S,,C,,,,,
NA19468-hap2,,,,,,,,,S,,S,,,,,,,C,S,,,,,
NA19391-hap1,,C,,S,C,S,C,C,,C,C,C,S,S,,C,S,S,,C,,,,
NA19391-hap2,,S,,,,C,S,S,C,C,C,S,,C,,,S,S,,C,,,C,
NA19338-hap1,,C,C,C,C,,C,,S,,C,C,,C,,C,S,C,S,C,,S,,
NA19338-hap2,C,C,S,,S,,C,S,C,,C,C,,,C,C,C,C,C,C,,,C,
NA19185-hap1,S,,S,,C,S,C,C,S,C,C,C,,,,,C,,C,C,,,,
NA19185-hap2,C,,C,C,C,C,C,C,,,C,S,C,,,,C,,,C,C,,,
NA19087-hap1,,,C,,,C,S,C,,C,C,,,,,,,,S,C,,,,
NA19087-hap2,,S,,,,,,C,,,C,,,,,,,,,C,C,,C,
NA18570-hap1,,,,S,C,C,C,C,C,S,S,C,,,,S,,S,C,C,,,,
NA18570-hap2,,,,S,C,S,C,C,S,,C,C,,,,S,,C,S,S,,,S,
HG03742-hap1,,,S,C,S,C,C,C,C,S,,C,,,,C,,,C,C,S,,,
HG03742-hap2,,,S,S,C,S,S,C,C,C,C,C,,,S,,,C,C,S,C,,,
HG03470-hap1,S,,C,,C,,S,C,C,C,C,C,,,S,S,S,S,C,,,,,
HG03470-hap2,S,,,C,C,C,C,C,C,C,C,C,S,,,S,C,C,C,,,,S,
HG03458-hap1,,C,,S,S,S,C,S,,,C,S,,S,,C,C,S,C,C,,,,
HG03458-hap2,,C,S,C,C,S,S,,S,,C,C,S,S,,S,,C,S,S,S,S,C,
HG02391-hap1,,,S,C,S,,C,C,C,S,S,C,,,,C,,,C,C,,,C,
HG02391-hap2,S,,S,C,C,,C,S,C,,C,C,,,,C,,,C,C,,,,C
HG01784-hap1,C,C,C,,C,C,,S,C,C,C,C,,,,S,,,S,C,,,,
HG01784-hap2,S,S,C,S,C,C,C,C,C,C,C,C,,,,,C,,S,C,S,S,,
HG01530-hap1,C,C,C,S,C,C,S,,C,C,C,C,S,,,C,S,,C,S,,,,
HG01530-hap2,S,S,C,C,S,,C,,,C,C,C,,,,,S,,,C,,,,
HG03471-hap1,,S,,S,C,S,,C,C,,C,,,,,C,S,,,S,,,C,
HG03471-hap2,,,,C,S,,,C,,C,C,,,,,S,C,,,C,,,,
