sample_id,haplotype,assembly_name,location
HG00408,1,HG00408_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00408/hprc_r2/assembly_qc/nucflag/v0.3.3_hifi/HG00408_pat_hprc_r2_v1.0.1.nucflag.first.bw
HG00597,1,HG00597_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG00597/hprc_r2/assembly_qc/nucflag/v0.3.3_hifi/HG00597_pat_hprc_r2_v1.0.1.nucflag.first.bw
HG01192,1,HG01192_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG01192/hprc_r2/assembly_qc/nucflag/v0.3.3_hifi/HG01192_pat_hprc_r2_v1.0.1.nucflag.first.bw
HG01261,1,HG01261_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG01261/hprc_r2/assembly_qc/nucflag/v0.3.3_hifi/HG01261_pat_hprc_r2_v1.0.1.nucflag.first.bw
HG02015,1,HG02015_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG02015/hprc_r2/assembly_qc/nucflag/v0.3.3_hifi/HG02015_pat_hprc_r2_v1.0.1.nucflag.first.bw
HG02056,1,HG02056_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG02056/hprc_r2/assembly_qc/nucflag/v0.3.3_hifi/HG02056_pat_hprc_r2_v1.0.1.nucflag.first.bw
HG02129,1,HG02129_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG02129/hprc_r2/assembly_qc/nucflag/v0.3.3_hifi/HG02129_pat_hprc_r2_v1.0.1.nucflag.first.bw
HG02258,1,HG02258_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG02258/hprc_r2/assembly_qc/nucflag/v0.3.3_hifi/HG02258_pat_hprc_r2_v1.0.1.nucflag.first.bw
HG03834,1,HG03834_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG03834/hprc_r2/assembly_qc/nucflag/v0.3.3_hifi/HG03834_pat_hprc_r2_v1.0.1.nucflag.first.bw
HG01975,1,HG01975_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/5E9D3123-C9D3-47D4-8BB7-D82FF0DC84EA--HPRC_R2_QC_NUCFLAG/HG01975/hprc_r2/assembly_qc/nucflag/v0.3.3_hifi/HG01975_pat_hprc_r2_v1.0.1.nucflag.first.bw
