sample_id,mat_num_contigs,mat_total_len,mat_AUN,mat_full_sgl,mat_full_dup,mat_perc_sgl,mat_switch,mat_hamming,mat_qv,pat_num_contigs,pat_total_len,pat_AUN,pat_full_sgl,pat_full_dup,pat_perc_sgl,pat_switch,pat_hamming,pat_qv
HG03017,66,3.0300,143.87,34718,147,0.9847479169608813,0.005896,0.0058130000000000005,56.25,64,2.9440,144.09,34716,117,0.9838440898178223,0.002872,0.002263,56.79
HG02668,60,3.0248,141.24,34632,128,0.9817822341477193,0.005923,0.00489,55.22,78,2.9497,126.94,34583,139,0.9807089394153368,0.003559,0.002863,55.80
HG02514,128,3.0355,146.92,34647,175,0.9835333992373958,0.007366,0.0070079999999999995,48.85,131,2.9435,141.11,34614,208,0.9835333992373958,0.003174,0.0030220000000000004,49.91
HG01934,63,3.0191,144.79,34682,134,0.9833639316480723,0.005758,0.004894,55.76,77,2.9364,145.44,34706,137,0.9841265358000283,0.0038829999999999997,0.0031929999999999997,58.69
HG01252,65,3.0364,132.68,34690,106,0.9827990396836604,0.007633999999999999,0.007479,55.83,57,2.9267,136.20,34719,113,0.9838158452196017,0.001913,0.0015040000000000001,56.75
HG01074,54,3.0261,129.51,34682,96,0.9822906369156899,0.004801000000000001,0.003996,56.42,64,2.9278,116.93,34656,112,0.982008190933484,0.004030000000000001,0.0034000000000000002,57.84
HG00658,51,3.0244,130.17,34690,154,0.9841547803982489,0.007784,0.006432,55.56,97,2.9330,137.02,34707,147,0.9844372263804547,0.002742,0.002117,56.76
HG03239,54,3.0157,141.75,34728,118,0.98421126959469,0.004476,0.003195,58.43,53,3.0247,150.44,34751,116,0.9848044061573225,0.007312999999999999,0.007802,58.73
HG03041,54,3.0412,149.70,34671,109,0.982347126112131,0.0058720000000000005,0.004913,58.66,43,3.0411,150.59,34676,137,0.9832791978534106,0.009687,0.008342,57.76
HG02841,205,3.0624,133.83,34454,365,0.9834486654427341,0.009087,0.010306,48.41,201,3.0617,135.77,34400,329,0.9809066516028809,0.00681,0.005674,49.28
HG01969,48,3.0315,144.80,34709,137,0.98421126959469,0.007011,0.007937,57.67,61,3.0262,142.46,34696,114,0.9831944640587488,0.007498,0.005952,57.10
HG01960,59,3.0259,127.67,34635,146,0.9823753707103516,0.004543,0.003468,58.26,69,3.0395,127.90,34700,125,0.9836181330320576,0.005323,0.004675,57.45
HG01940,43,3.0308,149.11,34729,112,0.9840700466035871,0.005894,0.004986,57.26,58,3.0359,149.22,34704,148,0.9843807371840135,0.007549,0.007044,57.52
HG01150,42,3.0313,138.16,34724,118,0.9840982912018077,0.00244,0.0017430000000000002,57.21,78,3.0292,138.72,34620,98,0.9805959610224545,0.010211,0.011309,56.34
HG01081,53,3.0454,146.30,34696,151,0.9842395141929106,0.004634,0.003739,56.83,65,3.0359,134.03,34692,127,0.9834486654427341,0.008438,0.008244,56.17
HG00639,60,3.0375,141.45,34700,119,0.9834486654427341,0.004526,0.004622,55.52,52,3.0182,141.52,34660,150,0.9831944640587488,0.007712,0.007352999999999999,55.35
HG00558,54,3.0387,142.95,34702,135,0.9839570682107047,0.006629,0.006478,57.05,85,3.0454,142.51,34684,205,0.9854257873181754,0.01109,0.010175,56.91
HG04228,51,3.0188,136.69,34760,106,0.9847761615591019,0.006693,0.0054459999999999995,57.59,65,2.9309,137.29,34659,190,0.9842960033893517,0.007736,0.007243,58.67
HG04204,74,3.0305,130.22,34743,128,0.9849173845502047,0.005848,0.0057350000000000005,56.14,92,2.9389,121.38,34722,102,0.983589888433837,0.00307,0.002636,58.15
HG04187,73,3.0164,133.28,34670,162,0.9838158452196017,0.0051849999999999995,0.0060209999999999994,57.01,77,2.9139,145.20,34635,104,0.9811890975850869,0.006206000000000001,0.007083000000000001,57.66
HG04160,59,3.0232,131.48,34704,135,0.9840135574071459,0.005484,0.006167000000000001,56.23,75,2.9509,135.93,34666,148,0.9833074424516312,0.00598,0.005157,56.78
HG04157,74,3.0175,122.34,34703,114,0.9833921762462929,0.006156,0.00501,56.59,90,2.9453,131.46,34704,143,0.9842395141929106,0.003851,0.004078,57.61
HG03942,78,3.0377,132.73,34753,101,0.9844372263804547,0.0074080000000000005,0.006044000000000001,56.91,74,2.9261,124.31,34761,105,0.9847761615591019,0.003686,0.003323,58.31
HG03816,54,3.0205,133.96,34746,104,0.9843242479875723,0.008298999999999999,0.0071460000000000004,56.27,53,3.0421,133.90,34779,104,0.9852563197288519,0.005847,0.004832,56.11
HG03804,85,3.0483,141.73,34716,129,0.9841830249964695,0.004819,0.0035099999999999997,56.18,66,3.0334,142.36,34754,108,0.9846631831662195,0.011961,0.011883,56.12
HG02809,68,3.0302,144.03,34607,108,0.9805112272277927,0.00497,0.0037159999999999997,55.96,61,3.0318,140.15,34554,248,0.982968507272984,0.004281,0.005405999999999999,56.45
