,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX,chrY
HG03017-pat,S,S,,S,C,S,,S,C,S,C,C,,,,C,S,C,C,C,,,,C
HG03017-mat,C,C,,S,C,S,S,C,S,S,C,C,,,,C,C,S,C,C,,,,
HG02668-pat,,C,,,C,,S,C,S,,C,C,,,,,S,S,C,C,,,,C
HG02668-mat,S,,,S,S,,S,S,S,C,C,C,,,,S,C,,,C,,,C,
HG02514-pat,S,S,C,,S,S,S,S,,S,S,S,,,,S,,,S,,,S,,
HG02514-mat,S,S,S,S,C,S,S,S,,S,C,,,,C,C,,,C,S,,S,,
HG01934-pat,S,S,C,,S,S,C,C,C,C,C,C,,,,C,S,S,S,C,,,,
HG01934-mat,S,C,C,,S,C,C,S,C,C,C,C,,,,C,S,,C,C,,,,
HG01252-pat,,,C,,C,C,C,C,C,C,C,C,,,,C,S,,C,C,C,,,
HG01252-mat,,S,S,,C,S,C,C,C,C,C,,,,,C,S,,C,C,,,,
HG01074-pat,,,,,S,S,S,C,C,S,S,C,,,,C,,,C,C,,,,
HG01074-mat,C,,,,S,C,S,S,C,C,C,C,,,,S,,,S,S,,,,
HG00658-pat,C,S,,,S,S,S,C,C,S,S,S,,,,S,,,S,,,,,
HG00658-mat,,C,,,C,C,C,C,C,C,C,S,,,C,C,,,C,S,,,C,
HG03239-pat,S,,S,S,C,C,C,,S,C,C,C,,,,S,C,,S,C,,,,
HG03239-mat,,S,S,,S,C,C,C,C,C,C,C,,,,S,S,,C,C,C,,,
HG03041-pat,C,C,S,C,C,,C,S,C,C,S,C,,,,S,S,S,S,S,,,S,
HG03041-mat,S,C,C,S,,,S,,S,,C,C,,,,S,S,C,S,S,,,C,
HG02841-pat,S,,S,S,S,,S,S,S,,S,S,,,,S,S,,C,,,,,
HG02841-mat,S,,S,,S,,S,S,S,S,S,S,,,,,C,S,C,,C,,,
HG01969-pat,S,S,C,,C,C,S,C,C,C,C,C,,,,C,,,,,C,,,
HG01969-mat,S,C,S,,,C,C,S,C,C,C,C,C,,,S,,,S,,,C,,
HG01960-pat,S,,,,S,,C,S,C,S,C,C,,,,S,,C,C,C,,C,C,
HG01960-mat,,,,,C,,S,,S,,C,S,,,,C,,,C,S,,,S,
HG01940-pat,C,C,C,C,C,S,,S,C,,C,C,,,C,C,S,,S,S,,,S,
HG01940-mat,S,C,S,C,C,,,C,,S,C,C,,,,C,C,,C,C,,,S,
HG01150-pat,,S,S,,C,S,C,C,C,C,C,C,S,,,C,S,,C,C,,,S,
HG01150-mat,,C,C,,S,S,C,S,C,S,C,C,,,C,C,C,,S,S,C,,S,
HG01081-pat,,C,C,,S,S,C,C,C,C,C,C,,,,S,S,C,C,C,,,,
HG01081-mat,C,C,S,,S,C,C,S,S,C,C,C,,,,C,C,S,C,C,,,,
HG00639-pat,C,,C,S,C,S,C,C,C,C,C,C,,S,,S,,C,,,,,S,
HG00639-mat,C,,S,S,C,S,C,S,,S,C,C,,,,C,,C,,S,,,,
HG00558-pat,S,,,C,C,S,C,S,S,,C,C,C,,,C,,,,C,,,C,
HG00558-mat,S,,S,S,C,S,S,S,S,C,C,C,,C,S,S,,,,S,,,C,
HG04228-pat,C,C,,,C,S,S,C,S,S,S,S,,,,C,C,,S,C,,,,
HG04228-mat,S,S,,,S,S,S,C,C,C,C,C,,S,,C,S,,S,C,,,,
HG04204-pat,,C,,,C,,C,S,C,,S,S,,,,C,,,S,C,,,,
HG04204-mat,,C,,,S,,S,C,C,,,C,,,,S,,,C,S,,,,
HG04187-pat,C,C,,,C,S,S,C,S,C,C,S,,,,C,S,,S,,,,,
HG04187-mat,,S,,S,S,C,,C,C,S,C,C,,,,C,C,C,C,C,,,,
HG04160-pat,C,,S,S,,,C,C,,C,C,C,,,,,,,C,C,S,,,
HG04160-mat,S,,C,S,,,S,C,,C,C,S,S,,,,,,C,C,,,,
HG04157-pat,S,,,,S,S,S,,C,C,C,,,,,C,,,S,,S,,,
HG04157-mat,S,,,,S,C,,S,C,,C,S,,,,,,,S,,,,,
HG03942-pat,,,C,S,C,C,S,,,,C,S,,,,C,,,S,,C,,,
HG03942-mat,,,S,S,C,C,C,C,,C,C,C,,,,C,,,C,,,,,
HG03816-pat,,C,C,,S,,S,S,C,S,C,C,,,,C,S,,S,C,S,,C,
HG03816-mat,,S,,,S,,C,C,C,C,C,C,,,,S,C,,S,C,,C,S,
HG03804-pat,,,S,,,S,C,C,C,,S,C,C,,,C,,,S,S,,,,
HG03804-mat,,C,S,S,,C,C,C,C,S,C,,,,,C,,,S,S,,,S,
HG02809-pat,,S,S,S,C,C,,S,C,C,C,C,C,,,S,S,C,C,S,,C,S,
HG02809-mat,,C,,C,C,C,C,S,C,C,C,C,,,,C,C,S,C,C,,,S,
HG02135-pat,,,,,S,S,,S,C,S,C,C,,,,C,,,,C,C,,,
HG02135-mat,,,,,S,C,S,S,C,,S,C,,,,S,,,,C,,,,
HG02074-pat,,,,S,,,C,C,C,,C,C,,,S,C,,,C,C,,,,
HG02074-mat,,S,,C,,,S,,C,,C,C,S,,,S,,,C,S,S,,C,
HG02071-pat,S,S,C,,C,S,C,S,C,C,C,,,,,,S,,S,C,,,,
HG02071-mat,,C,S,,C,S,S,C,C,S,C,S,,,,,C,,C,C,,,C,
HG00706-pat,,S,S,S,C,S,C,S,S,,S,C,,,,S,,,C,,,,,
HG00706-mat,S,C,C,C,C,C,C,S,C,C,C,C,,,,S,,,C,C,,,,
HG00438-pat,S,S,S,C,C,C,S,C,S,C,C,C,,,,C,S,C,S,C,,S,C,
HG00438-mat,C,S,S,S,C,S,C,C,,C,C,C,,,,C,S,S,S,C,C,,,
HG00673-pat,,S,C,C,,S,,C,,C,C,C,,,,,,S,,C,,,,
HG00673-mat,,C,S,S,S,S,S,C,C,S,S,C,,,,,,S,,S,,,C,
HG01071-pat,C,S,S,S,S,S,,,C,S,C,S,,,,S,S,,C,C,,,S,
HG01071-mat,C,,C,S,C,,,S,,C,C,S,,,,,S,,,C,,C,S,
HG01123-pat,S,,,,C,C,C,,C,C,C,S,,,,C,,,C,S,C,,S,
HG01123-mat,S,,C,,S,C,C,C,S,,C,S,,S,,S,,,C,S,C,C,S,
HG01358-pat,,C,,C,C,C,S,S,C,C,C,C,,,,S,,,C,C,,,,
HG01358-mat,,,C,C,,C,S,C,S,C,C,S,,,S,S,S,,C,S,,S,,
HG01361-pat,C,C,S,,S,S,,C,C,,C,S,,,S,S,,S,,C,,,S,
HG01361-mat,C,C,S,S,S,C,,S,C,C,S,C,,,,C,,C,,C,,S,S,
HG01928-pat,C,C,C,S,C,S,C,S,C,S,C,C,,,,S,C,C,C,C,,,,
HG01928-mat,S,C,S,,C,C,C,S,C,C,C,S,,,S,C,S,,C,C,C,,C,
HG01978-pat,,S,C,,C,S,,S,C,S,C,C,,,,,S,C,S,C,,,,
HG01978-mat,S,S,C,,,C,,C,C,C,S,C,,,,,S,S,S,C,,,S,
HG02257-pat,,S,,S,C,S,S,S,C,C,S,S,,,,,S,,S,,,,,
HG02257-mat,,C,,S,C,C,C,S,C,S,C,,,,,,C,,,C,,,,
