,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX,chrY
HG01167-pat,C,S,,,C,C,C,,C,,,C,C,S,,C,C,,C,C,,,,
HG01167-mat,S,C,C,C,S,,C,,,S,,C,,,,,S,C,S,C,,,,
NA19131-pat,C,C,,C,C,C,C,S,C,,C,S,,C,,S,C,S,C,C,,,,
NA19131-mat,,C,,S,S,S,S,C,,,C,S,S,,,C,S,C,,C,C,,,
HG00344-pat,S,S,S,,C,,S,C,,,C,S,,,,,,S,S,C,,,S,
HG00344-mat,C,S,S,,S,,,,,C,S,,,,,S,,C,,C,,,S,
HG00350-pat,S,,,,C,,C,C,,C,C,C,,,,,,,,C,,,,
HG00350-mat,,,S,,S,,C,C,S,,S,C,,,,,S,S,S,S,,,,
HG00253-pat,C,S,,,,C,C,,,C,C,C,,,,,,,C,,,S,C,
HG00253-mat,,C,,,,C,C,C,,S,C,C,,,,,,,,,,,S,
NA21102-pat,C,C,C,C,S,C,C,,,,C,C,,,,,,,C,,,,S,
NA21102-mat,,S,,C,,,S,S,,,C,C,,C,,,,,C,C,C,C,,
HG03521-pat,S,C,C,C,C,,S,,,C,,C,,,,,S,,C,C,,,,
HG03521-mat,,,S,S,C,,C,C,,,,C,,,,,C,,C,C,C,,C,
HG00235-pat,C,C,,,S,,C,C,C,,,,,,,C,S,,S,C,,C,S,
HG00235-mat,S,C,,,,,C,S,C,C,C,,,S,,C,C,,C,C,S,S,C,
HG03369-pat,C,C,,,,S,,,S,C,C,C,,,,C,,,C,S,,,S,
HG03369-mat,,S,,,C,S,C,S,S,S,C,C,,,,S,,,C,C,,,C,
NA20809-pat,,S,,,C,C,C,,,,C,C,,,,,,,C,,,,,
NA20809-mat,,S,,,S,C,S,,,,C,C,,,,,,,,S,,,,
NA18565-pat,S,,S,S,C,C,,C,,S,C,C,,,,S,,,C,,,S,S,
NA18565-mat,C,,S,S,S,C,,,,C,C,C,,,,S,,,,C,,,,
NA20850-pat,S,,,S,C,,,C,,,C,C,,,,,,S,S,C,C,,,
NA20850-mat,,S,C,S,,S,,C,,C,,C,,,,,,C,C,S,,C,,
NA18879-pat,C,,S,S,C,C,,S,,C,C,C,,C,S,,C,S,S,C,,,,
NA18879-mat,,,S,S,C,,,C,,S,S,C,,,,,,S,,C,,C,,
HG04153-pat,C,,S,S,,,C,,,C,C,C,,,,C,,,C,C,,,,
HG04153-mat,S,,C,,,,C,,C,,C,S,,,,S,,,C,,,,S,
NA20282-pat,,,,,,,S,,,,S,C,,,,C,C,,,S,,,,
NA20282-mat,,,S,,,,,,,C,,S,,,,,C,C,C,,,,S,
NA20346-pat,,C,,,S,S,,C,,C,,C,,,,,,S,C,C,,,,
NA20346-mat,C,,S,,C,C,C,,,S,C,C,,,C,C,,S,C,C,,,,
HG00329-pat,,,,,S,C,C,C,,C,C,S,,C,,C,S,,C,S,,C,,
HG00329-mat,,,C,,S,,S,C,,,C,S,C,S,,,,,C,S,,,,
HG00272-pat,S,,S,S,C,S,C,C,S,C,C,,C,,,,C,S,C,S,,,,
HG00272-mat,C,,C,,S,S,S,S,S,S,C,S,,,,,,S,S,,,,,
HG03784-pat,S,S,C,,,C,S,C,C,S,,C,,,,S,,C,S,,,,,
HG03784-mat,,C,,,,C,C,,,S,,C,,,,C,,C,C,,,,,
NA19682-pat,,C,,,,S,C,C,C,,,C,,C,,C,S,,C,C,,,,
NA19682-mat,,C,C,,C,C,S,,,,C,C,,,,,C,,C,,,,,
NA19909-pat,,,,,C,,C,,,C,C,C,,,,C,C,C,S,C,,,S,
NA19909-mat,S,,,C,C,,C,,,,S,C,,,,S,S,,S,C,C,C,S,
NA21144-pat,S,S,S,C,S,,C,C,C,C,C,S,,,,S,,S,C,C,,,S,
NA21144-mat,C,C,C,,C,,S,C,C,C,C,C,,,,,,S,C,C,,,,
HG00097-pat,C,S,S,,C,,,C,S,C,C,,,,,C,,,C,S,C,C,S,
HG00097-mat,S,S,,,,,S,S,S,,C,C,,,,,,S,,S,S,,C,
NA19776-pat,S,S,C,S,,C,C,S,S,,C,S,,,,S,,,C,C,,,,
NA19776-mat,S,S,C,S,C,S,,,C,C,C,C,,,,S,,,C,C,C,,,
NA19835-pat,S,C,S,,C,C,,C,,,,C,,,,C,,,C,S,,,,
NA19835-mat,S,,C,,C,S,,C,C,C,C,,C,,,S,,,S,C,,,,
