sample_id,sample,haplotype,phasing,assembly_method,assembly_method_version,assembly_date,genbank_accession,assembly_md5,assembly_fai,assembly_gzi,assembly,outputGff3
HG00408_hap1,HG00408,1,trio,hifiasm,0.19.7,2024-08,GCA_041900255.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/liftoff/batch1/HG00408_hap1/analysis/liftoff_outputs/881147b9-38e8-4dca-995e-31d6b7371143/HG00408_hap1.hprc_r2_v1_liftoff.gff3
HG00597_hap1,HG00597,1,trio,hifiasm,0.19.7,2024-08,GCA_041900365.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/HG00597_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/HG00597_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/HG00597_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/HG00597_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/liftoff/batch1/HG00597_hap1/analysis/liftoff_outputs/44c551b4-77fa-4a85-b4a1-dc64b5b458fa/HG00597_hap1.hprc_r2_v1_liftoff.gff3
HG01192_hap1,HG01192,1,trio,hifiasm,0.19.7,2024-08,GCA_041900145.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/liftoff/batch1/HG01192_hap1/analysis/liftoff_outputs/6cd82d95-356c-4655-8a69-6799b84ab15b/HG01192_hap1.hprc_r2_v1_liftoff.gff3
HG01261_hap1,HG01261,1,trio,hifiasm,0.19.7,2024-08,GCA_041900235.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/liftoff/batch1/HG01261_hap1/analysis/liftoff_outputs/5f1faead-460a-4063-ae98-d7ed28c009d9/HG01261_hap1.hprc_r2_v1_liftoff.gff3
HG02015_hap1,HG02015,1,trio,hifiasm,0.19.7,2024-08,GCA_041900165.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/HG02015_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/HG02015_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/HG02015_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/HG02015_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/liftoff/batch1/HG02015_hap1/analysis/liftoff_outputs/85248e21-6f91-43fb-ba97-8b8b4aedcad4/HG02015_hap1.hprc_r2_v1_liftoff.gff3
HG02056_hap1,HG02056,1,trio,hifiasm,0.19.7,2024-08,GCA_041900085.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/HG02056_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/HG02056_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/HG02056_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/HG02056_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/liftoff/batch1/HG02056_hap1/analysis/liftoff_outputs/4a118056-7f10-4df6-948f-6ef4fa33f702/HG02056_hap1.hprc_r2_v1_liftoff.gff3
HG02129_hap1,HG02129,1,trio,hifiasm,0.19.7,2024-08,GCA_041899985.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/HG02129_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/HG02129_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/HG02129_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/HG02129_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/liftoff/batch1/HG02129_hap1/analysis/liftoff_outputs/7cc862ce-e536-46b0-8aa2-e0df14374699/HG02129_hap1.hprc_r2_v1_liftoff.gff3
HG02258_hap1,HG02258,1,trio,hifiasm,0.19.7,2024-08,GCA_041899975.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/HG02258_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/HG02258_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/HG02258_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/HG02258_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/liftoff/batch1/HG02258_hap1/analysis/liftoff_outputs/0944a579-da2d-43c4-9755-f11bf266ea9d/HG02258_hap1.hprc_r2_v1_liftoff.gff3
HG03834_hap1,HG03834,1,trio,hifiasm,0.19.7,2024-08,GCA_041899965.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/HG03834_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/HG03834_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/HG03834_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/HG03834_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/liftoff/batch1/HG03834_hap1/analysis/liftoff_outputs/4ca7a061-fc55-4821-9cbb-3fdd94f35ba4/HG03834_hap1.hprc_r2_v1_liftoff.gff3
HG01975_hap1,HG01975,1,trio,hifiasm,0.19.7,2024-12,GCA_046000135.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/liftoff/batch1/HG01975_hap1/analysis/liftoff_outputs/1e231316-a085-4390-90ba-ce12018a235f/HG01975_hap1.hprc_r2_v1_liftoff.gff3
