sample_id,included in cyto data table,biosample_id,population_descriptor,population_abbreviation,trio_available,family_id,paternal_id,maternal_id,sex,tissue,collection,alternative_id,notes,project,contributing_institution
HG06807,FALSE,SAMN33621959,"African Americans living in St. Louis, Missouri",ASL,TRUE,,HG06804,HG06803,female,N/A,N/A,PAN027,,extramural,Miga Lab
HG005,FALSE,SAMN03283350,N/A,N/A,TRUE,,HG003,HG004,male,B-Lymphocyte,GIAB,NA26107,,extramural,NISC
HG002,FALSE,SAMN03283347,N/A,N/A,TRUE,,NA24694,NA24695,male,N/A,GIAB,NA24385,,extramural,NISC
GRCh38,FALSE,SAMN12121739,N/A,N/A,FALSE,,,,N/A,N/A,N/A,,,extramural,
CHM13,FALSE,SAMN03255769,N/A,N/A,FALSE,,,,N/A,N/A,N/A,,,extramural,
NA18940,FALSE,SAMN44671128,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,AMED
NA18943,FALSE,SAMN44671129,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,AMED
NA18944,FALSE,SAMN44671130,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,AMED
NA18945,FALSE,SAMN44671131,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,AMED
NA18948,FALSE,SAMN44671132,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,AMED
NA18959,FALSE,SAMN44671133,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,AMED
NA18960,FALSE,SAMN44671134,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,AMED
NA18967,TRUE,SAMN44671135,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,AMED
NA18970,TRUE,SAMN44671136,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,AMED
NA18982,FALSE,SAMN44671137,"Japanese in Tokyo, Japan",JPT,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,AMED
NA20762,TRUE,SAMN41021652,Toscani in Italia,TSI,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,Human Technopole
NA20827,TRUE,SAMN41021650,Toscani in Italia,TSI,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,Human Technopole
NA20806,TRUE,SAMN41021648,Toscani in Italia,TSI,FALSE,,,,male,B-Lymphocyte,1000G,,,HPP,Human Technopole
NA20503,TRUE,SAMN41021630,Toscani in Italia,TSI,FALSE,,,,female,B-Lymphocyte,1000G,,,HPP,Human Technopole
NA19835,TRUE,SAMN41021665,African Ancestry in Southwest USA,ASW,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA19700,TRUE,SAMN41021612,African Ancestry in Southwest USA,ASW,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA20346,TRUE,SAMN41021609,African Ancestry in Southwest USA,ASW,FALSE,,,,male,B-Lymphocyte,1000G,,,HPRC,NIH
NA20282,TRUE,SAMN41021608,African Ancestry in Southwest USA,ASW,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
NA19909,TRUE,SAMN41021607,African Ancestry in Southwest USA,ASW,FALSE,,,,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01891,TRUE,SAMN17861236,African Caribbean in Barbados,ACB,TRUE,BB05,HG01890,HG01889,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02486,TRUE,SAMN17861238,African Caribbean in Barbados,ACB,TRUE,BB55,HG02484,HG02485,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02257,TRUE,SAMN17861237,African Caribbean in Barbados,ACB,TRUE,BB21,HG02255,HG02256,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02559,TRUE,SAMN17861239,African Caribbean in Barbados,ACB,TRUE,BB68,HG02557,HG02558,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02280,TRUE,SAMN26237505,African Caribbean in Barbados,ACB,TRUE,BB23,HG02307,HG02308,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01884,TRUE,SAMN26267393,African Caribbean in Barbados,ACB,TRUE,BB03,HG01885,HG01956,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG02258,TRUE,SAMN33621952,African Caribbean in Barbados,ACB,TRUE,BB22,HG02314,HG02315,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG02451,TRUE,SAMN33758786,African Caribbean in Barbados,ACB,TRUE,BB46,HG02449,HG02450,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG01960,TRUE,SAMN37797102,African Caribbean in Barbados,ACB,TRUE,BB11,HG01988,HG01989,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG04184,TRUE,SAMN26267397,Bengali in Bangladesh,BEB,TRUE,BD61,HG04182,HG04183,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03831,TRUE,SAMN26237514,Bengali in Bangladesh,BEB,TRUE,BD27,HG03830,HG03829,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03927,TRUE,SAMN26267386,Bengali in Bangladesh,BEB,TRUE,BD37,HG03926,HG03925,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG03942,TRUE,SAMN26267387,Bengali in Bangladesh,BEB,TRUE,BD42,HG03941,HG03940,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG04187,TRUE,SAMN37706911,Bengali in Bangladesh,BEB,TRUE,BD62,HG04185,HG04186,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03804,TRUE,SAMN37706907,Bengali in Bangladesh,BEB,TRUE,BD18,HG03803,HG03802,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG04160,TRUE,SAMN37706910,Bengali in Bangladesh,BEB,TRUE,BD53,HG04158,HG04159,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03816,TRUE,SAMN37706908,Bengali in Bangladesh,BEB,TRUE,BD22,HG03815,HG03814,female,B-Lymphocyte,1000G,,,HPRC,NIH
HG04157,TRUE,SAMN37706909,Bengali in Bangladesh,BEB,TRUE,BD52,HG04155,HG04156,male,B-Lymphocyte,1000G,,,HPRC,NIH
HG03834,TRUE,SAMN33621958,Bengali in Bangladesh,BEB,TRUE,BD28,HG03833,HG03832,female,B-Lymphocyte,1000G,,,HPRC,NIH
