,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX,chrY
HG00423-pat,,C,C,C,,C,C,S,C,S,C,S,,S,,,,,S,C,,S,S,
HG00423-mat,,S,S,S,,S,,C,C,C,C,C,,,,,,C,S,,,C,S,
HG02602-pat,,,C,S,C,S,,C,S,S,C,S,C,,,C,,,C,S,,S,,
HG02602-mat,,C,C,,C,C,,S,S,,C,C,C,,,S,C,,,C,,,S,
HG00544-pat,S,,C,,C,S,,C,C,,C,C,,,,S,,,S,,C,C,,
HG00544-mat,,S,C,,C,C,C,S,C,,C,C,,,,C,,,S,,,C,C,
HG01943-pat,,S,,,,,,,,C,C,C,,,,,,,C,C,,C,,
HG01943-mat,,C,,,S,,,,,S,C,,,,,S,,,S,,,,C,
HG02735-pat,S,S,,C,S,,,S,C,S,C,C,,,,C,S,,S,S,,,,
HG02735-mat,S,S,,,C,,C,C,C,C,C,C,,,,C,S,,C,C,,,,
HG04160-pat,C,,S,S,,,C,C,,C,C,C,,,,,,,C,C,S,,,
HG04160-mat,S,,C,S,,,S,C,,C,C,S,S,,,,,,C,C,,,,
HG02717-pat,,,,C,S,,C,C,C,C,C,S,,,,C,S,,C,,,,S,
HG02717-mat,,S,S,S,S,,S,C,C,S,C,C,,,,C,C,,S,S,,,,
HG03579-pat,,S,C,S,S,S,S,C,C,C,C,C,,,S,,,,C,C,,,,
HG03579-mat,C,S,,S,,C,C,C,C,C,,C,,,,S,,,S,C,,,,
HG02984-pat,,S,,,S,S,S,S,S,C,,S,,,C,S,C,,S,S,,,,
HG02984-mat,,S,,,S,S,S,S,,C,,S,,,,S,S,,S,,,,,
HG03050-pat,,,S,,S,S,,,,S,,S,,,,S,,S,,S,,,,
HG03050-mat,S,,S,,S,,,,,S,,S,,,,S,,,S,S,,,,
