sample_id,mat_num_contigs,mat_total_len,mat_AUN,mat_full_sgl,mat_full_dup,mat_perc_sgl,mat_switch,mat_hamming,mat_qv,pat_num_contigs,pat_total_len,pat_AUN,pat_full_sgl,pat_full_dup,pat_perc_sgl,pat_switch,pat_hamming,pat_qv,asm_batch
HG00733,80,3.04 Gbp,138.8 Mbp,34716,147,98.47 %,0.008685,0.009497,56.22,68,3.04 Gbp,138.4 Mbp,34747,117,98.47 %,0.008332,0.0066149999999999,56.73,10
HG01109,95,3.03 Gbp,123.1 Mbp,34685,114,98.29 %,0.00716,0.007376,51.8,93,2.91 Gbp,122.5 Mbp,34738,115,98.44 %,0.002654,0.002416,51.73,10
HG01243,78,3.03 Gbp,129.2 Mbp,34625,143,98.2 %,0.005431,0.004973,54.89,75,2.92 Gbp,132.8 Mbp,34625,133,98.17 %,0.00417,0.0069599999999999,55.46,10
HG02055,74,3.03 Gbp,121.9 Mbp,34616,166,98.24 %,0.005117,0.004355,56.06,77,2.96 Gbp,130.4 Mbp,34603,143,98.14 %,0.003343,0.00257,56.73,10
HG02080,72,3.04 Gbp,136.9 Mbp,34688,143,98.38 %,0.007141,0.005744,58.76,66,3.03 Gbp,136.3 Mbp,34707,137,98.42 %,0.008846,0.00761,58.2,10
HG02109,59,3.03 Gbp,133.6 Mbp,34658,120,98.23 %,0.005052,0.0046999999999999,36.03,81,3.03 Gbp,132.2 Mbp,34677,108,98.25 %,0.002718,0.002411,36.06,10
HG02145,75,3.04 Gbp,143.1 Mbp,34622,127,98.15 %,0.006716,0.005781,57.17,124,2.94 Gbp,143.6 Mbp,34627,132,98.18 %,0.001441,0.001084,54.27,10
HG02723,53,3.04 Gbp,143.5 Mbp,34634,151,98.25 %,0.0054969999999999,0.004403,58.47,61,3.05 Gbp,144.0 Mbp,34641,127,98.2 %,0.006361,0.00528,58.48,10
HG02818,92,3.05 Gbp,136.8 Mbp,34649,115,98.19 %,0.0076619999999999,0.008426,55.15,61,3.02 Gbp,137.6 Mbp,34568,150,98.06 %,0.005463,0.005001,55.6,10
HG03098,82,3.07 Gbp,126.6 Mbp,34600,148,98.14 %,0.004532,0.003407,52.87,82,2.94 Gbp,123.4 Mbp,34604,107,98.04 %,0.0047399999999999,0.004293,53.95,10
HG03486,96,3.04 Gbp,123.7 Mbp,34589,135,98.08 %,0.006701,0.0064129999999999,55.9,100,3.05 Gbp,136.4 Mbp,34573,145,98.06 %,0.008062,0.006541,54.82,10
HG03492,67,3.03 Gbp,136.0 Mbp,34706,174,98.52 %,0.00642,0.006962,56.1,101,2.94 Gbp,122.6 Mbp,34694,136,98.38 %,0.003283,0.002457,57.5,10
NA18906,80,3.03 Gbp,135.1 Mbp,34531,194,98.08 %,0.005201,0.0044009999999999,55.13,99,3.04 Gbp,136.0 Mbp,34602,162,98.19 %,0.005359,0.005737,54.33,10
NA19240,48,3.02 Gbp,142.8 Mbp,34616,148,98.19 %,0.003068,0.0026379999999999,56.16,47,3.04 Gbp,143.8 Mbp,34610,136,98.14 %,0.007738,0.007334,56.46,10
NA20129,73,3.05 Gbp,139.1 Mbp,34658,120,98.23 %,0.005281,0.004981,56.23,76,3.04 Gbp,133.3 Mbp,34630,143,98.21 %,0.00652,0.006664,56.29,10
NA21309,66,3.05 Gbp,128.9 Mbp,34677,160,98.4 %,0.007818,0.006455,56.17,74,3.04 Gbp,128.3 Mbp,34570,142,98.04 %,0.01375,0.012316,55.62,10
HG002,75,3.04 Gbp,130.6 Mbp,34678,130,98.31 %,0.0078459999999999,0.006808,57.82,80,2.94 Gbp,131.6 Mbp,34655,133,98.26 %,0.005745,0.004712,59.09,10
