sample_id,accession,study,bioproject_accession,biosample_accession,filename,filetype,path,data_type,coverage,total_bp,total_Gbp,ntsm_score,production,title,design_description,generator_facility,generator_contact,library_ID,library_strategy,library_source,library_selection,library_layout,shear_method,platform,instrument_model,assembly
HG00423,SRR30613929,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-1_S15_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L001_R1_001.fastq.gz,unaligned reads,5.87,18206561943,18.21,0.568935,HiC,Illumina Sequencing of Omni-C Libraries of HG00423,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00423-81d-1-1_S15_L001_R1_001-1_S15_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00423,SRR30613928,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-1_S15_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L002_R1_001.fastq.gz,unaligned reads,5.9,18277431102,18.28,0.587264,HiC,Illumina Sequencing of Omni-C Libraries of HG00423,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00423-81d-1-1_S15_L002_R1_001-1_S15_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00423,SRR30613888,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-1_S15_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L003_R1_001.fastq.gz,unaligned reads,5.9,18277713152,18.28,0.518726,HiC,Illumina Sequencing of Omni-C Libraries of HG00423,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00423-81d-1-1_S15_L003_R1_001-1_S15_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00423,SRR30613695,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-1_S15_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L004_R1_001.fastq.gz,unaligned reads,5.92,18349525689,18.35,0.567746,HiC,Illumina Sequencing of Omni-C Libraries of HG00423,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00423-81d-1-1_S15_L004_R1_001-1_S15_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00423,SRR30613837,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-2_S16_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L001_R1_001.fastq.gz,unaligned reads,6.28,19474750712,19.47,0.57545,HiC,Illumina Sequencing of Omni-C Libraries of HG00423,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00423-81d-2-2_S16_L001_R1_001-2_S16_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00423,SRR30613668,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-2_S16_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L002_R1_001.fastq.gz,unaligned reads,6.3,19540903591,19.54,0.567801,HiC,Illumina Sequencing of Omni-C Libraries of HG00423,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00423-81d-2-2_S16_L002_R1_001-2_S16_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00423,SRR30613655,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-2_S16_L003_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L003_R1_001.fastq.gz,unaligned reads,6.31,19557125825,19.56,0.543371,HiC,Illumina Sequencing of Omni-C Libraries of HG00423,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00423-81d-2-2_S16_L003_R1_001-2_S16_L003_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00423,SRR30613823,SRP305758,PRJNA701308,SAMN26237490,HG00423-81d-2_S16_L004_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L004_R1_001.fastq.gz,unaligned reads,6.34,19641695401,19.64,0.550402,HiC,Illumina Sequencing of Omni-C Libraries of HG00423,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00423-81d-2-2_S16_L004_R1_001-2_S16_L004_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00544,SRR30613813,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-1_S1_L001_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L001_R1_001.fastq.gz,unaligned reads,8.22,25480247832,25.48,0.52936,HiC,Illumina Sequencing of Omni-C Libraries of HG00544,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00544-24ab-1-1_S1_L001_R1_001-1_S1_L001_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
HG00544,SRR30613731,SRP305758,PRJNA701308,SAMN26237491,HG00544-24ab-1_S1_L002_R1_001.fastq.gz,fastq,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L002_R1_001.fastq.gz,unaligned reads,8.18,25348619543,25.35,0.537102,HiC,Illumina Sequencing of Omni-C Libraries of HG00544,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,HG00544-24ab-1-1_S1_L002_R1_001-1_S1_L002_R2_001,Hi-C,GENOMIC,RANDOM,paired,no shear,ILLUMINA,Illumina NovaSeq 6000,unaligned
