accession,study,bioproject_accession,biosample_accession,library_ID,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,shear_method,size_selection,DeepConsensus_version,polymerase_version,seq_plate_chemistry_version,generator_facility,generator_contact,filename,total_reads,total_bp,total_Gbp,min,max,mean,quartile_25,quartile_50,quartile_75,N25,N50,N75,sample_ID,path,production,data_type,notes,MM_tag,coverage,ntsm_score,ccs_algorithm
SRR25618944,SRP305758,PRJNA701308,SAMN26237490,HG00423_lib1_dc,PacBio HiFi sequencing of HG00423 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2,C2,Washington University,tgraves@wustl.edu,HG00423.m64043_210205_190424.dc.q20.fastq.gz,2169288,40034895477,40.03,43.0,49368.0,18455,16373,18217,20127,16798,18643,20614,HG00423,s3://human-pangenomics/working/HPRC/HG00423/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00423.m64043_210205_190424.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.91,,
SRR25618943,SRP305758,PRJNA701308,SAMN26237491,HG00544_lib1_dc,PacBio HiFi sequencing of HG00544 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2,C2,Washington University,tgraves@wustl.edu,HG00544.m64136_210520_180433.dc.q20.fastq.gz,1622000,31807341724,31.81,48.0,50293.0,19609,16831,18464,21827,17139,19153,22870,HG00544,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00544.m64136_210520_180433.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,10.26,,
SRR25618932,SRP305758,PRJNA701308,SAMN26237491,HG00544_lib2_dc,PacBio HiFi sequencing of HG00544 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2,C2,Washington University,tgraves@wustl.edu,HG00544.m64043_210702_183246.dc.q20.fastq.gz,2258284,42595473911,42.6,473.0,48786.0,18861,17346,18505,20009,17486,18722,20289,HG00544,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00544.m64043_210702_183246.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,13.74,,
SRR25618921,SRP305758,PRJNA701308,SAMN26237492,HG00609_lib1_dc,PacBio HiFi sequencing of HG00609 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2,C2,Washington University,tgraves@wustl.edu,HG00609.m64136_210622_163607.dc.q20.fastq.gz,1917582,39047683785,39.05,47.0,50778.0,20362,17437,19156,22527,17779,19886,23774,HG00609,s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00609.m64136_210622_163607.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.6,,
SRR25618910,SRP305758,PRJNA701308,SAMN26267378,HG00642.HFSS_dc,PacBio HiFi sequencing of HG00642 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 21kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG00642.m54329U_210524_174516.dc.q20.fastq.gz,2098346,41901198683,41.9,3.0,50177.0,19968,16616,19279,22634,17364,20305,23857,HG00642,s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00642.m54329U_210524_174516.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,13.52,,
SRR25618909,SRP305758,PRJNA701308,SAMN26237493,HG00738_lib1_dc,PacBio HiFi sequencing of HG00738 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG00738.m64043_210530_003337.dc.q20.fastq.gz,1393853,30203390136,30.2,45.0,50541.0,21668,18544,20255,23637,18896,20930,25269,HG00738,s3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00738.m64043_210530_003337.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,9.74,,
SRR25618908,SRP305758,PRJNA701308,SAMN26237494,HG01099_lib1_dc,PacBio HiFi sequencing of HG01099 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG01099.m64043_210704_052805.dc.q20.fastq.gz,2189517,41924133615,41.92,688.0,51589.0,19147,16259,18846,21246,16756,19507,21941,HG01099,s3://human-pangenomics/working/HPRC/HG01099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01099.m64043_210704_052805.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,13.52,,
SRR25618907,SRP305758,PRJNA701308,SAMN26237495,HG01255_lib1_dc,PacBio HiFi sequencing of HG01255 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG01255.m64043_210520_180149.dc.q20.fastq.gz,1776750,36164450083,36.16,335.0,50274.0,20354,17026,19224,22626,17476,20310,23897,HG01255,s3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01255.m64043_210520_180149.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.67,,
SRR25618906,SRP305758,PRJNA701308,SAMN26267379,HG01346.HFSS_dc,PacBio HiFi sequencing of HG01346 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 24kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG01346.m54329U_210624_221223.dc.q20.fastq.gz,2203716,40696610819,40.7,54.0,49640.0,18467,15686,17718,20609,16153,18480,21647,HG01346,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01346.m54329U_210624_221223.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,13.13,,
SRR25618905,SRP305758,PRJNA701308,SAMN26267379,HG01346_f345_dc,PacBio HiFi sequencing of HG01346 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 19kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,SageELF,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG01346.m64076_210526_105450.dc.q20.fastq.gz,1215785,22213681953,22.21,44.0,45795.0,18271,15841,18368,19888,16286,18725,20219,HG01346,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01346.m64076_210526_105450.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,7.17,,
