sample_id,sample_name,haplotype,phasing,assembly_method,assembly_method_version,assembly_date,assembly_name,source,genbank_accession,assembly_md5,assembly_fai,assembly_gzi,assembly,t2t_chrom_tsv,chrom_alias_txt,gaps_bed,telo_bed,mashmap_paf
HG00408_hap1,HG00408,1,trio,hifiasm,0.19.7,2024-08,HG00408_pat_hprc_r2_v1.0.1,hprc,GCA_041900255.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00408/assemblies/freeze_2/HG00408_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/chrom_assignment/batch1/HG00408_hap1/analysis/assign_chromosomes_outputs/67b9d6cc-7304-4e70-a80e-3ba2a2d1609c/HG00408_pat_hprc_r2_v1.0.1.t2t_chromosomes.tsv,/private/groups/hprc/qc/chrom_assignment/batch1/HG00408_hap1/analysis/assign_chromosomes_outputs/67b9d6cc-7304-4e70-a80e-3ba2a2d1609c/HG00408_pat_hprc_r2_v1.0.1.chromAlias.txt,/private/groups/hprc/qc/chrom_assignment/batch1/HG00408_hap1/analysis/assign_chromosomes_outputs/742282f1-bbdb-40a8-93a8-badcd9858815/HG00408_pat_hprc_r2_v1.0.1.gaps.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG00408_hap1/analysis/assign_chromosomes_outputs/742282f1-bbdb-40a8-93a8-badcd9858815/HG00408_pat_hprc_r2_v1.0.1.telo.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG00408_hap1/analysis/assign_chromosomes_outputs/a808461d-dc33-4e77-8f37-5ded6a7013eb/mashmap_HG00408_pat_hprc_r2_v1.0.1_pi95.paf
HG00597_hap1,HG00597,1,trio,hifiasm,0.19.7,2024-08,HG00597_pat_hprc_r2_v1.0.1,hprc,GCA_041900365.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/HG00597_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/HG00597_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/HG00597_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00597/assemblies/freeze_2/HG00597_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/chrom_assignment/batch1/HG00597_hap1/analysis/assign_chromosomes_outputs/2a4a0eab-3a16-4de3-b082-00eb925ea0b2/HG00597_pat_hprc_r2_v1.0.1.t2t_chromosomes.tsv,/private/groups/hprc/qc/chrom_assignment/batch1/HG00597_hap1/analysis/assign_chromosomes_outputs/2a4a0eab-3a16-4de3-b082-00eb925ea0b2/HG00597_pat_hprc_r2_v1.0.1.chromAlias.txt,/private/groups/hprc/qc/chrom_assignment/batch1/HG00597_hap1/analysis/assign_chromosomes_outputs/77d6da0c-7e39-4feb-8840-85bf182a22f8/HG00597_pat_hprc_r2_v1.0.1.gaps.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG00597_hap1/analysis/assign_chromosomes_outputs/77d6da0c-7e39-4feb-8840-85bf182a22f8/HG00597_pat_hprc_r2_v1.0.1.telo.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG00597_hap1/analysis/assign_chromosomes_outputs/718be4df-9d9b-4117-aab7-ca19df92e836/mashmap_HG00597_pat_hprc_r2_v1.0.1_pi95.paf
HG01192_hap1,HG01192,1,trio,hifiasm,0.19.7,2024-08,HG01192_pat_hprc_r2_v1.0.1,hprc,GCA_041900145.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01192/assemblies/freeze_2/HG01192_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/chrom_assignment/batch1/HG01192_hap1/analysis/assign_chromosomes_outputs/5e11bbbd-ee0f-4806-8f6d-16020938d0a5/HG01192_pat_hprc_r2_v1.0.1.t2t_chromosomes.tsv,/private/groups/hprc/qc/chrom_assignment/batch1/HG01192_hap1/analysis/assign_chromosomes_outputs/5e11bbbd-ee0f-4806-8f6d-16020938d0a5/HG01192_pat_hprc_r2_v1.0.1.chromAlias.txt,/private/groups/hprc/qc/chrom_assignment/batch1/HG01192_hap1/analysis/assign_chromosomes_outputs/cc5dca6e-7a28-4173-9bc9-f0903e9a07d2/HG01192_pat_hprc_r2_v1.0.1.gaps.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG01192_hap1/analysis/assign_chromosomes_outputs/cc5dca6e-7a28-4173-9bc9-f0903e9a07d2/HG01192_pat_hprc_r2_v1.0.1.telo.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG01192_hap1/analysis/assign_chromosomes_outputs/78815c48-9ff9-4229-b99a-77ce54c54785/mashmap_HG01192_pat_hprc_r2_v1.0.1_pi95.paf
HG01261_hap1,HG01261,1,trio,hifiasm,0.19.7,2024-08,HG01261_pat_hprc_r2_v1.0.1,hprc,GCA_041900235.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01261/assemblies/freeze_2/HG01261_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/chrom_assignment/batch1/HG01261_hap1/analysis/assign_chromosomes_outputs/08e60122-0fab-4afa-9ca6-5908301b77aa/HG01261_pat_hprc_r2_v1.0.1.t2t_chromosomes.tsv,/private/groups/hprc/qc/chrom_assignment/batch1/HG01261_hap1/analysis/assign_chromosomes_outputs/08e60122-0fab-4afa-9ca6-5908301b77aa/HG01261_pat_hprc_r2_v1.0.1.chromAlias.txt,/private/groups/hprc/qc/chrom_assignment/batch1/HG01261_hap1/analysis/assign_chromosomes_outputs/639fac23-df34-4dc5-9a7d-fdfc72f680d7/HG01261_pat_hprc_r2_v1.0.1.gaps.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG01261_hap1/analysis/assign_chromosomes_outputs/639fac23-df34-4dc5-9a7d-fdfc72f680d7/HG01261_pat_hprc_r2_v1.0.1.telo.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG01261_hap1/analysis/assign_chromosomes_outputs/d9de70a0-e744-486e-a78e-2f03a9842f55/mashmap_HG01261_pat_hprc_r2_v1.0.1_pi95.paf
HG02015_hap1,HG02015,1,trio,hifiasm,0.19.7,2024-08,HG02015_pat_hprc_r2_v1.0.1,hprc,GCA_041900165.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/HG02015_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/HG02015_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/HG02015_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02015/assemblies/freeze_2/HG02015_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/chrom_assignment/batch1/HG02015_hap1/analysis/assign_chromosomes_outputs/e90ff51a-fea1-4254-a43a-3fa2d01751e5/HG02015_pat_hprc_r2_v1.0.1.t2t_chromosomes.tsv,/private/groups/hprc/qc/chrom_assignment/batch1/HG02015_hap1/analysis/assign_chromosomes_outputs/e90ff51a-fea1-4254-a43a-3fa2d01751e5/HG02015_pat_hprc_r2_v1.0.1.chromAlias.txt,/private/groups/hprc/qc/chrom_assignment/batch1/HG02015_hap1/analysis/assign_chromosomes_outputs/80140358-5402-4860-ac03-47c3583e0315/HG02015_pat_hprc_r2_v1.0.1.gaps.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG02015_hap1/analysis/assign_chromosomes_outputs/80140358-5402-4860-ac03-47c3583e0315/HG02015_pat_hprc_r2_v1.0.1.telo.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG02015_hap1/analysis/assign_chromosomes_outputs/004107c8-8004-4738-9a58-8b2b6b17be56/mashmap_HG02015_pat_hprc_r2_v1.0.1_pi95.paf
HG02056_hap1,HG02056,1,trio,hifiasm,0.19.7,2024-08,HG02056_pat_hprc_r2_v1.0.1,hprc,GCA_041900085.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/HG02056_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/HG02056_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/HG02056_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02056/assemblies/freeze_2/HG02056_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/chrom_assignment/batch1/HG02056_hap1/analysis/assign_chromosomes_outputs/a36acdaf-b394-41c3-95e8-2df3f1b063c7/HG02056_pat_hprc_r2_v1.0.1.t2t_chromosomes.tsv,/private/groups/hprc/qc/chrom_assignment/batch1/HG02056_hap1/analysis/assign_chromosomes_outputs/a36acdaf-b394-41c3-95e8-2df3f1b063c7/HG02056_pat_hprc_r2_v1.0.1.chromAlias.txt,/private/groups/hprc/qc/chrom_assignment/batch1/HG02056_hap1/analysis/assign_chromosomes_outputs/172386de-3589-4507-acc5-c528aacc7ca6/HG02056_pat_hprc_r2_v1.0.1.gaps.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG02056_hap1/analysis/assign_chromosomes_outputs/172386de-3589-4507-acc5-c528aacc7ca6/HG02056_pat_hprc_r2_v1.0.1.telo.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG02056_hap1/analysis/assign_chromosomes_outputs/dd10bf17-41be-49b3-a79a-6a441a4440a6/mashmap_HG02056_pat_hprc_r2_v1.0.1_pi95.paf
HG02129_hap1,HG02129,1,trio,hifiasm,0.19.7,2024-08,HG02129_pat_hprc_r2_v1.0.1,hprc,GCA_041899985.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/HG02129_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/HG02129_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/HG02129_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02129/assemblies/freeze_2/HG02129_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/chrom_assignment/batch1/HG02129_hap1/analysis/assign_chromosomes_outputs/c1cf259a-fb9c-497f-bf82-580676357cd3/HG02129_pat_hprc_r2_v1.0.1.t2t_chromosomes.tsv,/private/groups/hprc/qc/chrom_assignment/batch1/HG02129_hap1/analysis/assign_chromosomes_outputs/c1cf259a-fb9c-497f-bf82-580676357cd3/HG02129_pat_hprc_r2_v1.0.1.chromAlias.txt,/private/groups/hprc/qc/chrom_assignment/batch1/HG02129_hap1/analysis/assign_chromosomes_outputs/7f90589a-9766-49c8-bca7-152432fe68d0/HG02129_pat_hprc_r2_v1.0.1.gaps.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG02129_hap1/analysis/assign_chromosomes_outputs/7f90589a-9766-49c8-bca7-152432fe68d0/HG02129_pat_hprc_r2_v1.0.1.telo.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG02129_hap1/analysis/assign_chromosomes_outputs/ea9d2ae3-49ae-476a-ac31-18d65a51303e/mashmap_HG02129_pat_hprc_r2_v1.0.1_pi95.paf
HG02258_hap1,HG02258,1,trio,hifiasm,0.19.7,2024-08,HG02258_pat_hprc_r2_v1.0.1,hprc,GCA_041899975.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/HG02258_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/HG02258_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/HG02258_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02258/assemblies/freeze_2/HG02258_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/chrom_assignment/batch1/HG02258_hap1/analysis/assign_chromosomes_outputs/db400d0e-0281-43e1-8029-eb8208f33ed2/HG02258_pat_hprc_r2_v1.0.1.t2t_chromosomes.tsv,/private/groups/hprc/qc/chrom_assignment/batch1/HG02258_hap1/analysis/assign_chromosomes_outputs/db400d0e-0281-43e1-8029-eb8208f33ed2/HG02258_pat_hprc_r2_v1.0.1.chromAlias.txt,/private/groups/hprc/qc/chrom_assignment/batch1/HG02258_hap1/analysis/assign_chromosomes_outputs/18817925-f1a5-46f4-bc18-03ad8a9e0dbd/HG02258_pat_hprc_r2_v1.0.1.gaps.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG02258_hap1/analysis/assign_chromosomes_outputs/18817925-f1a5-46f4-bc18-03ad8a9e0dbd/HG02258_pat_hprc_r2_v1.0.1.telo.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG02258_hap1/analysis/assign_chromosomes_outputs/56ad09fc-d8e7-42b7-a710-a1d334c01cc1/mashmap_HG02258_pat_hprc_r2_v1.0.1_pi95.paf
HG03834_hap1,HG03834,1,trio,hifiasm,0.19.7,2024-08,HG03834_pat_hprc_r2_v1.0.1,hprc,GCA_041899965.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/HG03834_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/HG03834_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/HG03834_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03834/assemblies/freeze_2/HG03834_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/chrom_assignment/batch1/HG03834_hap1/analysis/assign_chromosomes_outputs/1e5880aa-0ffb-44da-88a3-a0514435c383/HG03834_pat_hprc_r2_v1.0.1.t2t_chromosomes.tsv,/private/groups/hprc/qc/chrom_assignment/batch1/HG03834_hap1/analysis/assign_chromosomes_outputs/1e5880aa-0ffb-44da-88a3-a0514435c383/HG03834_pat_hprc_r2_v1.0.1.chromAlias.txt,/private/groups/hprc/qc/chrom_assignment/batch1/HG03834_hap1/analysis/assign_chromosomes_outputs/bad75f64-a2e9-47ea-ac8c-49438d1eb0ad/HG03834_pat_hprc_r2_v1.0.1.gaps.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG03834_hap1/analysis/assign_chromosomes_outputs/bad75f64-a2e9-47ea-ac8c-49438d1eb0ad/HG03834_pat_hprc_r2_v1.0.1.telo.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG03834_hap1/analysis/assign_chromosomes_outputs/a8881756-88d4-4309-a7d6-e87c677c1be7/mashmap_HG03834_pat_hprc_r2_v1.0.1_pi95.paf
HG01975_hap1,HG01975,1,trio,hifiasm,0.19.7,2024-12,HG01975_pat_hprc_r2_v1.0.1,hprc,GCA_046000135.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_pat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_pat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_pat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01975/assemblies/freeze_2/HG01975_pat_hprc_r2_v1.0.1.fa.gz,/private/groups/hprc/qc/chrom_assignment/batch1/HG01975_hap1/analysis/assign_chromosomes_outputs/9a8c2bbc-3be4-4433-b38a-65dbd8a955d0/HG01975_pat_hprc_r2_v1.0.1.t2t_chromosomes.tsv,/private/groups/hprc/qc/chrom_assignment/batch1/HG01975_hap1/analysis/assign_chromosomes_outputs/9a8c2bbc-3be4-4433-b38a-65dbd8a955d0/HG01975_pat_hprc_r2_v1.0.1.chromAlias.txt,/private/groups/hprc/qc/chrom_assignment/batch1/HG01975_hap1/analysis/assign_chromosomes_outputs/e5a95649-8870-4b2f-8d43-013d3f94e1c3/HG01975_pat_hprc_r2_v1.0.1.gaps.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG01975_hap1/analysis/assign_chromosomes_outputs/e5a95649-8870-4b2f-8d43-013d3f94e1c3/HG01975_pat_hprc_r2_v1.0.1.telo.bed,/private/groups/hprc/qc/chrom_assignment/batch1/HG01975_hap1/analysis/assign_chromosomes_outputs/f9a40769-3aef-4791-b7de-2e2e197307fe/mashmap_HG01975_pat_hprc_r2_v1.0.1_pi95.paf
