sample_id,accession,study,bioproject_accession,biosample_accession,filename,filetype,path,data_type,coverage,deepconsensus_coverage,total_reads,total_bp,total_gbp,mean,min,max,n25,n50,n75,quartile_25,quartile_50,quartile_75,ntsm_score,production,design_description,notes,generator_facility,generator_contact,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,basecaller,basecaller_version,ccs_algorithm,lima_version,lima_float_version,primrose_version,primrose_filename,deepconsensus_filename,deepconsensus_path,mm_tag,mm_review,mm_remove,ML_tag,all_kinetics_flag,keep_kinetics_flag,hifi_kinetics_tag,PP_PRIMROSE,fi_tag,ri_tag,fp_tag,rp_tag
HG00097,SRR29483082,SRP305758,PRJNA701308,SAMN41021660,m84046_230716_051716_s3.hifi_reads.bc2086.bam,bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2086.bam,unaligned reads with 5mC,18.1,,2730343.0,56111550391.0,56.11,20551.0,77.0,60165.0,18218.0,20516.0,23811.0,17766.0,19795.0,22777.0,0.547261,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00097.HFSS_m84046_230716_051716_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00097,SRR29483083,SRP305758,PRJNA701308,SAMN41021660,m84046_230716_054822_s4.hifi_reads.bc2086.bam,bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2086.bam,unaligned reads with 5mC,19.2,,2892254.0,59475971630.0,59.48,20563.0,135.0,53858.0,18220.0,20531.0,23848.0,17766.0,19800.0,22810.0,0.533559,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00097.HFSS_m84046_230716_054822_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00097,SRR29483084,SRP305758,PRJNA701308,SAMN41021660,m84046_230718_223822_s1.hifi_reads.bc2086.bam,bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam,unaligned reads with 5mC,26.4,,4013688.0,81988073357.0,81.99,20427.0,131.0,58103.0,18134.0,20372.0,23618.0,17693.0,19676.0,22592.0,0.539019,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00097.HFSS_m84046_230718_223822_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00099,SRR23922670,SRP305758,PRJNA701308,SAMN33758778,m54329U_220825_174247-bc2012.5mc.hifi_reads.bam,bam,s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m54329U_220825_174247-bc2012.5mc.hifi_reads.bam,unaligned reads with 5mC,15.4,18.1,2287312.0,47677590021.0,47.68,20844.0,87.0,64390.0,18329.0,20991.0,24424.0,17755.0,20124.0,23333.0,,UW_HPRC_HiFi_Y3,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00099_1.HFSS,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P3.2,ccs,6.3.0,6.3.0,2.5.1,2.0501,,,HG00099.m54329U_220825_174247.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220825_174247.dc.q20.fastq.gz,True,True,False,,,,,,,,,
HG00099,SRR23922669,SRP305758,PRJNA701308,SAMN33758778,m54329U_220827_143814-bc2050.5mc.hifi_reads.bam,bam,s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m54329U_220827_143814-bc2050.5mc.hifi_reads.bam,unaligned reads with 5mC,14.7,17.07,2276772.0,45528316868.0,45.53,19996.0,52.0,54052.0,17720.0,20026.0,23102.0,17274.0,19325.0,22189.0,,UW_HPRC_HiFi_Y3,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00099_2.HFSS,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P3.2,ccs,6.3.0,6.3.0,2.5.1,2.0501,,,HG00099.m54329U_220827_143814.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220827_143814.dc.q20.fastq.gz,True,True,False,,,,,,,,,
HG00099,SRR23922669,SRP305758,PRJNA701308,SAMN33758778,m54329U_220829_095708-bc2050.5mc.hifi_reads.bam,bam,s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m54329U_220829_095708-bc2050.5mc.hifi_reads.bam,unaligned reads with 5mC,16.4,18.56,2531476.0,50762698477.0,50.76,20052.0,138.0,59908.0,17765.0,20098.0,23193.0,17309.0,19387.0,22273.0,,UW_HPRC_HiFi_Y3,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00099_2.HFSS,WGS,GENOMIC,RANDOM,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Sequel II,C2,P3.2,ccs,6.3.0,6.3.0,2.5.1,2.0501,,,HG00099.m54329U_220829_095708.dc.q20.fastq.gz,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220829_095708.dc.q20.fastq.gz,True,True,False,,,,,,,,,
HG00099,SRR29483176,SRP305758,PRJNA701308,SAMN33758778,m84046_230517_211630_s4.hifi_reads.bc2012.bam,bam,s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m84046_230517_211630_s4.hifi_reads.bc2012.bam,unaligned reads with 5mC,19.8,,2977212.0,61484744616.0,61.48,20651.0,331.0,54368.0,18153.0,20772.0,24191.0,17597.0,19914.0,23094.0,0.521581,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00099_1.HFSS_m84046_230517_211630_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00126,SRR29483146,SRP305758,PRJNA701308,SAMN41021637,m84046_230602_203207_s4.hifi_reads.bc2043.bam,bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2043.bam,unaligned reads with 5mC,10.1,,1429169.0,31211081209.0,31.21,21838.0,114.0,72198.0,19339.0,21716.0,25155.0,18891.0,20975.0,24050.0,0.54501,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00126.HFSS_m84046_230602_203207_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00126,SRR29483144,SRP305758,PRJNA701308,SAMN41021637,m84046_230617_043254_s3.hifi_reads.bc2043.bam,bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2043.bam,unaligned reads with 5mC,7.9,,1147622.0,24387352695.0,24.39,21250.0,221.0,65475.0,19001.0,21095.0,24190.0,18611.0,20482.0,23230.0,0.569107,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00126.HFSS_m84046_230617_043254_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
HG00126,SRR29483148,SRP305758,PRJNA701308,SAMN41021637,m84046_230617_050400_s4.hifi_reads.bc2043.bam,bam,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2043.bam,unaligned reads with 5mC,8.7,,1265571.0,27014561078.0,27.01,21345.0,441.0,66961.0,19050.0,21192.0,24330.0,18650.0,20561.0,23358.0,0.578292,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,HiFi sequencing of 20kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,PG00126.HFSS_m84046_230617_050400_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,revio_deepconsensus,7.0.0,7.0.0,2.7.1,2.0701,,,,,True,True,False,,,,,,,,,
