sample_id,accession,study,bioproject_accession,biosample_accession,filename,filetype,path,data_type,total_reads,ntsm_score,production,title,design_description,generator_facility,generator_contact,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,basecaller_version,ccs_algorithm,cell_type,platform_unit_1,platform_unit_2,barcode,iso_library_id,iso_filename,pool,similarity,pbtrim_version,jasmine_version,lima_version,refine_version,check-flnc reads
HG00423,,SRP305758,PRJNA701308,,HG00423.lymph.m84046_240713_051553_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00423/raw_data/PacBio_Kinnex/HG00423.lymph.m84046_240713_051553_s2.flnc.bam,bam,5805662,0.183349,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00423.lymph.m84046_240713_051553_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_051553_s2,,bc01,HPRC_Pool001.KN,flnc-1.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00423,,SRP305758,PRJNA701308,,HG00423.lymph.m84046_240722_012946_s4.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00423/raw_data/PacBio_Kinnex/HG00423.lymph.m84046_240722_012946_s4.flnc.bam,bam,6354937,0.177367,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00423.lymph.m84046_240722_012946_s4,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240722_012946_s4,,bc01,HPRC_Pool001.KN,flnc-1.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00438,,SRP305758,PRJNA701308,,HG00438.lymph.m84046_240713_091428_s4.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00438/raw_data/PacBio_Kinnex/HG00438.lymph.m84046_240713_091428_s4.flnc.bam,bam,6425109,0.161663,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00438.lymph.m84046_240713_091428_s4,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_091428_s4,,bc06,HPRC_Pool003.KN,flnc-2.bam,HPRC_Pool003.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00438,,SRP305758,PRJNA701308,,HG00438.lymph.m84046_240717_125059_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00438/raw_data/PacBio_Kinnex/HG00438.lymph.m84046_240717_125059_s3.flnc.bam,bam,7908024,0.157445,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00438.lymph.m84046_240717_125059_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_125059_s3,,bc06,HPRC_Pool003.KN,flnc-2.bam,HPRC_Pool003.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00621,,SRP305758,PRJNA701308,,HG00621.lymph.m84046_240713_091428_s4.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_Kinnex/HG00621.lymph.m84046_240713_091428_s4.flnc.bam,bam,7005843,0.172991,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00621.lymph.m84046_240713_091428_s4,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_091428_s4,,bc05,HPRC_Pool003.KN,flnc-1.bam,HPRC_Pool003.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00621,,SRP305758,PRJNA701308,,HG00621.lymph.m84046_240717_125059_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_Kinnex/HG00621.lymph.m84046_240717_125059_s3.flnc.bam,bam,8612869,0.170832,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00621.lymph.m84046_240717_125059_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_125059_s3,,bc05,HPRC_Pool003.KN,flnc-1.bam,HPRC_Pool003.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00673,,SRP305758,PRJNA701308,,HG00673.lymph.m84046_240713_051553_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00673/raw_data/PacBio_Kinnex/HG00673.lymph.m84046_240713_051553_s2.flnc.bam,bam,4903874,0.196727,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00673.lymph.m84046_240713_051553_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_051553_s2,,bc08,HPRC_Pool001.KN,flnc-8.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00673,,SRP305758,PRJNA701308,,HG00673.lymph.m84046_240722_012946_s4.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00673/raw_data/PacBio_Kinnex/HG00673.lymph.m84046_240722_012946_s4.flnc.bam,bam,5379202,0.197161,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00673.lymph.m84046_240722_012946_s4,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240722_012946_s4,,bc08,HPRC_Pool001.KN,flnc-8.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00735,,SRP305758,PRJNA701308,,HG00735.lymph.m84046_240713_051553_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00735/raw_data/PacBio_Kinnex/HG00735.lymph.m84046_240713_051553_s2.flnc.bam,bam,5819419,0.205716,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00735.lymph.m84046_240713_051553_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_051553_s2,,bc03,HPRC_Pool001.KN,flnc-3.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00735,,SRP305758,PRJNA701308,,HG00735.lymph.m84046_240722_012946_s4.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00735/raw_data/PacBio_Kinnex/HG00735.lymph.m84046_240722_012946_s4.flnc.bam,bam,6379171,0.200453,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00735.lymph.m84046_240722_012946_s4,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240722_012946_s4,,bc03,HPRC_Pool001.KN,flnc-3.bam,HPRC_Pool001.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00741,,SRP305758,PRJNA701308,,HG00741.lymph.m84046_240713_071511_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00741/raw_data/PacBio_Kinnex/HG00741.lymph.m84046_240713_071511_s3.flnc.bam,bam,5135903,0.22742,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00741.lymph.m84046_240713_071511_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_071511_s3,,bc03,HPRC_Pool002.KN,flnc-3.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG00741,,SRP305758,PRJNA701308,,HG00741.lymph.m84046_240717_105141_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG00741/raw_data/PacBio_Kinnex/HG00741.lymph.m84046_240717_105141_s2.flnc.bam,bam,5043621,0.239632,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG00741.lymph.m84046_240717_105141_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_105141_s2,,bc03,HPRC_Pool002.KN,flnc-3.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01071,,SRP305758,PRJNA701308,,HG01071.lymph.m84046_240713_071511_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01071/raw_data/PacBio_Kinnex/HG01071.lymph.m84046_240713_071511_s3.flnc.bam,bam,7480219,0.197911,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01071.lymph.m84046_240713_071511_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_071511_s3,,bc04,HPRC_Pool002.KN,flnc-4.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01071,,SRP305758,PRJNA701308,,HG01071.lymph.m84046_240717_105141_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01071/raw_data/PacBio_Kinnex/HG01071.lymph.m84046_240717_105141_s2.flnc.bam,bam,7336779,0.208254,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01071.lymph.m84046_240717_105141_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_105141_s2,,bc04,HPRC_Pool002.KN,flnc-4.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01106,,SRP305758,PRJNA701308,,HG01106.lymph.m84046_240713_071511_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01106/raw_data/PacBio_Kinnex/HG01106.lymph.m84046_240713_071511_s3.flnc.bam,bam,8007235,0.203105,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01106.lymph.m84046_240713_071511_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_071511_s3,,bc01,HPRC_Pool002.KN,flnc-1.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01106,,SRP305758,PRJNA701308,,HG01106.lymph.m84046_240717_105141_s2.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01106/raw_data/PacBio_Kinnex/HG01106.lymph.m84046_240717_105141_s2.flnc.bam,bam,7868980,0.206905,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01106.lymph.m84046_240717_105141_s2,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240717_105141_s2,,bc01,HPRC_Pool002.KN,flnc-1.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
HG01175,,SRP305758,PRJNA701308,,HG01175.lymph.m84046_240713_071511_s3.flnc.bam,unaligned reads,s3://human-pangenomics/working/HPRC/HG01175/raw_data/PacBio_Kinnex/HG01175.lymph.m84046_240713_071511_s3.flnc.bam,bam,8214305,0.201113,UW_HPRC_Y5_Kinnex,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,University of Washington,iviolich@ucsc.edu,HG01175.lymph.m84046_240713_071511_s3,isoseq,transcriptomic,cDNA,single,,,PACBIO_SMRT,Revio,C1,P1,5,8.0.1,lymph,m84046_240713_071511_s3,,bc02,HPRC_Pool002.KN,flnc-2.bam,HPRC_Pool002.KN,1,1.1.0,2.2.1,2.10.0,4.1.2,True
