sample_id,haplotype,assembly_name,location
HG00097,1,HG00097_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/alignments/GRCh38_no_alt/assemblies/HG00097.GRCh38_no_alt.hap1.sorted.bam
HG00097,2,HG00097_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00097/alignments/GRCh38_no_alt/assemblies/HG00097.GRCh38_no_alt.hap2.sorted.bam
HG00099,1,HG00099_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/alignments/GRCh38_no_alt/assemblies/HG00099.GRCh38_no_alt.hap1.sorted.bam
HG00099,2,HG00099_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00099/alignments/GRCh38_no_alt/assemblies/HG00099.GRCh38_no_alt.hap2.sorted.bam
HG00126,1,HG00126_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/alignments/GRCh38_no_alt/assemblies/HG00126.GRCh38_no_alt.hap1.sorted.bam
HG00126,2,HG00126_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00126/alignments/GRCh38_no_alt/assemblies/HG00126.GRCh38_no_alt.hap2.sorted.bam
HG00128,1,HG00128_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/alignments/GRCh38_no_alt/assemblies/HG00128.GRCh38_no_alt.hap1.sorted.bam
HG00128,2,HG00128_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/alignments/GRCh38_no_alt/assemblies/HG00128.GRCh38_no_alt.hap2.sorted.bam
HG00133,1,HG00133_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/alignments/GRCh38_no_alt/assemblies/HG00133.GRCh38_no_alt.hap1.sorted.bam
HG00133,2,HG00133_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/alignments/GRCh38_no_alt/assemblies/HG00133.GRCh38_no_alt.hap2.sorted.bam
