sample_id,mat_num_contigs,mat_total_len,mat_AUN,mat_full_sgl,mat_full_dup,mat_perc_sgl,mat_switch,mat_hamming,mat_qv,pat_num_contigs,pat_total_len,pat_AUN,pat_full_sgl,pat_full_dup,pat_perc_sgl,pat_switch,pat_hamming,pat_qv
HG00423,56,3.0436,133.18,34597,115,0.9804264934331309,0.008473000000000001,0.00924,56.37,56,3.0391,136.80,34708,144,0.9843807371840135,0.007324000000000001,0.006029,56.60
HG02602,49,3.0297,152.22,34710,119,0.98373111142494,0.006785,0.006084000000000001,56.44,67,2.9468,126.18,34680,167,0.9842395141929106,0.002852,0.002385,57.81
HG00544,50,3.0272,146.28,34667,216,0.9852563197288519,0.0041849999999999995,0.003183,56.68,53,3.0148,146.67,34618,125,0.9813020759779693,0.012116,0.01638,56.23
HG01943,99,3.0613,125.40,34708,121,0.98373111142494,0.005764,0.004978,56.45,90,2.9194,109.98,34684,143,0.9836746222284988,0.002938,0.002633,57.43
HG02735,83,3.0230,138.38,34720,114,0.9838723344160429,0.008025,0.008386,56.07,78,2.9363,139.67,34751,134,0.985312808925293,0.002969,0.002306,57.99
HG04160,59,3.0232,131.48,34704,135,0.9840135574071459,0.005484,0.006167000000000001,56.23,75,2.9509,135.93,34666,148,0.9833074424516312,0.00598,0.005157,56.78
HG02717,56,2.9462,136.74,34573,139,0.9804264934331309,0.0025700000000000002,0.002545,57.31,53,3.0445,138.85,34645,138,0.9824318599067928,0.0038929999999999998,0.003528,56.53
HG03579,67,2.9428,149.26,34603,131,0.9810478745939839,0.002644,0.001899,57.42,80,3.0374,136.44,34599,144,0.9813020759779693,0.004778,0.005186,57.78
HG02984,398,2.9729,121.57,34123,601,0.980765428611778,0.0053100000000000005,0.006199,46.75,465,3.0969,120.64,34203,497,0.9800875582544838,0.00712,0.008235,46.54
HG03050,559,3.0172,113.51,33730,905,0.9782516593701455,0.007105,0.00975,45.12,584,3.1478,103.30,33630,796,0.972348538342042,0.0073019999999999995,0.008075,45.20
