,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX,chrY
HG00126-hap1,S,S,S,,C,C,C,,S,,C,C,,,,C,,,S,,,,,
HG00126-hap2,,S,S,,,S,S,C,C,S,C,,,C,,S,,,C,S,,,,
HG00128-hap1,,C,S,C,S,S,C,C,C,S,C,C,,C,S,,,C,S,S,,,,
HG00128-hap2,,C,S,C,S,C,C,,,C,C,C,,,S,C,,S,C,C,,,S,
HG00133-hap1,S,C,C,S,S,,C,S,,,C,S,,C,,S,S,,,S,,,,
HG00133-hap2,S,C,C,C,C,C,C,C,,C,C,C,,,,,C,,,C,,C,S,
HG00146-hap1,,C,,,C,C,C,C,,,C,,,,,S,,,C,S,,,,
HG00146-hap2,,C,,C,C,,C,,,S,C,C,,,,S,C,,,S,,,C,
HG00232-hap1,S,C,S,,,,S,C,C,,C,S,,,,,S,,C,S,,,S,
HG00232-hap2,C,S,S,,,,C,C,C,,C,C,,,S,,C,,C,C,,,,
HG00290-hap1,,C,,C,C,C,S,S,,,C,C,,,,C,S,S,S,,,,,
HG00290-hap2,,C,C,,C,C,,C,,,C,C,,,,C,,,C,,,,C,
HG00320-hap1,S,,,C,C,C,C,S,C,,C,C,,,,,S,C,S,C,,,S,
HG00320-hap2,S,,,,C,S,S,C,C,C,C,C,,,C,,S,S,S,S,,,C,
HG00867-hap1,S,C,C,C,S,C,S,S,C,C,,C,,,,,C,,S,C,,C,,
HG00867-hap2,C,S,C,C,C,C,C,,,,C,C,,C,,,,,C,C,C,,,
HG02178-hap1,,C,,S,S,C,,S,,,C,,,,,C,C,,C,C,,,,
HG02178-hap2,C,S,,S,C,C,,C,,C,C,C,S,,,C,S,,C,C,,,,
HG02392-hap1,C,,,S,S,C,,C,,C,C,C,,C,,,,,C,,,S,,
HG02392-hap2,S,S,,,C,S,,,,,C,C,,S,,,,,C,C,,C,,
HG03270-hap1,,C,,,S,C,C,S,,C,C,C,,,,,S,C,,,,,S,
HG03270-hap2,S,C,,,C,,S,C,,C,C,C,,,S,,,,,C,,,C,
HG03583-hap1,,C,C,,S,C,,,,,C,,,,,S,C,S,S,,,S,C,
HG03583-hap2,,S,S,,,C,C,,,,C,,,,,C,S,C,S,S,,,,
NA18505-hap1,,,,,C,,C,C,S,,,C,,,C,S,,,C,,,,,
NA18505-hap2,,,,C,C,,S,S,S,,C,S,,,,,,,C,,,,,
NA18608-hap1,,,,,C,,S,C,C,C,C,C,,,,,S,,,C,,,,C
NA18608-hap2,C,,C,S,C,,C,C,,,S,,,,,C,C,,C,,,,,
NA18620-hap1,,S,,,C,,S,C,,C,C,C,,,,C,,S,,,,,,
NA18620-hap2,C,S,C,,C,,,C,,C,C,C,,,,C,,C,,,,,C,
NA18952-hap1,,C,S,,S,,C,,,C,C,C,,,,S,C,C,,C,,,,
NA18952-hap2,S,C,,,C,,C,C,,,C,C,,,,,S,S,S,S,,,,
NA18974-hap1,,C,,S,,,S,C,C,C,C,C,,,,,S,,,,,S,,
NA18974-hap2,,C,,C,,,S,C,,S,C,C,,,,S,C,,C,C,,,C,
NA18976-hap1,,S,,,C,S,S,,,C,C,C,,,,C,,,S,,,C,,
NA18976-hap2,,S,,,S,C,,,,C,C,C,,,S,S,,,,,,S,,
NA19036-hap1,S,C,C,,C,,C,,,C,C,C,,S,,S,,C,C,C,,,C,
NA19036-hap2,,,C,,C,S,C,C,,S,C,C,,,,C,,C,S,C,,,C,
NA20870-hap1,,C,C,,S,,S,C,C,C,C,C,,,C,,,C,C,,,,,
NA20870-hap2,,S,C,,C,,C,C,S,,C,S,,,,C,,C,C,C,,,,
NA21110-hap1,C,,S,C,C,C,C,,,S,C,C,,,,,C,S,S,C,,,S,
NA21110-hap2,S,C,C,C,S,S,,S,,,C,C,,,C,S,S,C,C,S,,,C,
NA18508-hap1,,,S,S,C,S,,C,,,,,C,,,,,S,,,,,S,
NA18508-hap2,S,,C,,C,,S,S,S,,,C,,,,,,,,C,,,C,
NA19700-hap1,C,S,,S,,C,C,S,C,C,C,C,,,S,C,S,C,C,S,,,,
NA19700-hap2,S,C,,C,C,C,S,C,,S,C,C,,,,,,,S,S,,,C,
NA21093-hap1,S,,S,,C,,C,,,S,,C,,,,,,,C,C,,,,
NA21093-hap2,S,,S,,,,S,C,,S,C,C,,,,,,,C,S,,,,
NA21106-hap1,S,S,S,,C,,,,C,C,S,C,,,S,,,C,C,,,,C,
NA21106-hap2,S,C,C,,S,C,C,C,S,C,,C,,,,,,S,,,,,S,
HG00321-hap1,C,S,S,C,C,C,C,C,C,C,,S,,,S,,C,,,C,,,,
HG00321-hap2,C,S,C,,C,C,S,S,C,,C,C,S,,,,C,,C,,,,,
HG01786-hap1,,,,S,C,S,S,C,C,C,S,C,,,,,,,C,,,,,
HG01786-hap2,,,C,,C,,C,,S,,C,C,,,,,,,C,,,,,
HG02583-hap1,,C,S,S,C,C,C,C,,,C,,,,C,C,S,C,S,,,S,S,
HG02583-hap2,,C,C,C,S,,S,S,,,C,C,,,,C,C,S,C,S,,C,C,
HG03874-hap1,S,C,C,C,C,,C,C,C,S,,,,,,S,S,C,C,C,C,C,,
HG03874-hap2,C,C,S,S,S,S,C,C,,C,C,S,C,,,S,S,S,,C,,,,
NA19443-hap1,C,S,C,,C,C,S,,,C,C,C,S,,,,S,C,S,C,,,,
NA19443-hap2,S,C,S,,,S,,,,,,C,,,,,C,C,C,C,,,,
